Unnamed: 0,tweet,tweet_processed
0,Why is tomorrow Monday???  &  LOL,why be tomorrow monday Laughing Out Loud
2,@poptartiero eXactly. Like ain't nobody wanna see that when looking at  or,exactly like aint nobody wanna see that when look at or
3,The red cups at Starbucks are gone.,the red cup at starbucks be go
4,Packer nation right now...   ,packer nation right now
5,"Thanks to the Giants, I'm going to suffer from serious playoff FOMO come January.. I don't even want to watch their game tonight. ",thanks to the giant im go to suffer from serious playoff fomo come january i dont even want to watch their game tonight
7,cant believe im back at work tomorrow!,cant believe im back at work tomorrow
10,I'm gonna die because of my fucking finals,im gonna die because of my fucking final
11,"Feeling lost, , or having thoughts of ? Help is available. Call us 24/7 at (800) 273-TALK (8255). ",feel lose or have thought of help be available call u 7 at 800 talk 8255
12,Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha,be on facetime to chloe when sum1 die on prison break and she go into a full on emotional breakdown hahaha
13,Both the Pats and Panthers lose ?????? and my vacation just ended.,both the pat and panther lose and my vacation just end
14,"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! ",just paracetamol be antipyritique cant anawer correctly due to too much nerve what a shame
15,Watching other NFL teams today emphasizes how pitiful the Eagles are,watch other nfl team today emphasize how pitiful the eagle be
16,This ruined my whole Sunday!,this ruin my whole sunday
17,Went to see The Big Short.,go to see the big short
18,"I reaaaallly don't want to go to work tomorrow,  five days off isn't enough, but come Wednesday four more. Can't wait. Love it!",i reaaaallly dont want to go to work tomorrow five day off isnt enough but come wednesday four more cant wait love it
20,"What do u mean ur , when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!",what do You mean ur when You start piss blood You have my complete permission to be depressed count ur blessing
22,Anybody wanna switch places with me and go back to Hawaii tomorrow?!,anybody wanna switch place with me and go back to hawaii tomorrow
26,I haven't snuggled my little Uigi in SIX days????????,i havent snuggle my little uigi in six day
30,I've finished a whole jar of nutella in the past hour,ive finish a whole jar of nutella in the past hour
32,people: Dream 3 times more than -depressed people.,people dream times more than depressed people
34,@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions!,wish spree could stock up on more shoe in the big size range always miss the promotion
37,I think I have hit rock bottom as a  fan.... ????,i think i have hit rock bottom a a fan
39,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask,hard to believe right now but theres a world wait for your contributionjesuschristwillhelpyouaccomplishyourdreamask
43,Being an  fan is why this nation NEEDS tougher gun laws,be an fan be why this nation need tough gun law
47,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(,michael have be in bed all day barely functional from car bad cold i have one katman
48,"When all your family is out and you're reading a book, good times, good times???? ",when all your family be out and youre read a book good time good time
49,Well  couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.,well couldnt really have do much more to spoil christmas pointless beat city if we throw it away against saint
57,Think ill have a nap - need it after that game,think ill have a nap need it after that game
58,"In St.Thomas. Can't tweet and watch PLL, wifi sucks. ",in stthomas cant tweet and watch pll wifi suck
59,So the  s are over...first time I had to celebrate it by own..,so the s be overfirst time i have to celebrate it by own
60,finally finished one tree hill & now I don't know what to do with my life,finally finish one tree hill now i dont know what to do with my life
62,The worst part of my life is...  Taking down the Christmas Decorations...I am now,the bad part of my life be take down the christmas decorationsi be now
63,"Don't be  due to -ve activities of other's-Be  & understand,""Addicted of -ve ego satisfaction is dangerous""-Make distance",dont be due to ve activity of othersbe understandaddicted of ve ego satisfaction be dangerousmake distance
69,This is my  stance....  pic.twitter.com/YI7vjfXH05,this be my stance
70,"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. ",that feel when you get your draw tablet and your not a pro expert manga drawer right off the bat
71,"Realization: No matter how long I live, ""All I Want for Christmas Is You"" will outlast me. ",realization no matter how long i live all i want for christmas be you will outlast me
72,I'm not  or . I always grow my toenails out and don't shave. Duh.,im not or i always grow my toenail out and dont shave duh
73,You are not and never will be ALONE. We are all deeply interconnected.,you be not and never will be alone we be all deeply interconnect
75,"Well, I didn't receive any presents this year. Maybe it'll receive them in a couple of days or maybe next year.  ??????????????",well i didnt receive any present this year maybe itll receive them in a couple of day or maybe next year
76,Damn I'm the only one who didn't get JB tickets??,damn im the only one who didnt get jb ticket
78,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK,life turn out totally different than you thoughtyoure lose alonedesperately need helpjesuschristhealssavesask
80,i didnt get the ariana calendar.,i didnt get the ariana calendar
