tweet,automated_readability_index,coleman_liau_index,flesch_kincaid_grade_level,flesch_reading_ease,gulpease_index,gunning_fog_index,lix,smog_index,wiener_sachtextformel,n_chars,n_long_words,n_monosyllable_words,n_polysyllable_words,n_sents,n_syllables,n_unique_words,n_words,sent_neg,sent_neu,sent_pos,sent_compound,economic_stress_total,isolation_total,substance_use_total,guns_total,domestic_stress_total,suicidality_total,punctuation
dangote,12.04,-4.229126999999998,8.400000000000002,36.62000000000003,319.0,0.4,101.0,3.1291,12.2622,7,1,0,0,1,2,1,1,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
work overtime kandi burrusstucker queen business medium,15.04,21.131398714285716,10.740000000000002,30.53000000000003,61.857142857142854,14.228571428571428,49.857142857142854,11.20814326018867,9.981114285714288,49,3,3,2,1,14,7,7,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
positive environmental impact proof human need die great good,10.806666666666665,15.537509666666669,10.208888888888893,37.900000000000034,63.44444444444445,12.488888888888889,31.22222222222222,11.20814326018867,5.995355555555555,53,2,5,2,1,17,9,9,0.2,0.256,0.544,0.7717,0,0,0,0,0,0,0.0
everyone stay home please fuck quickly carry enjoy summer fest,8.533000000000001,12.403678300000003,3.650000000000002,86.70500000000001,66.0,4.0,30.0,3.1291,1.1019999999999999,53,2,7,0,1,13,10,10,0.219,0.438,0.344,0.25,0,0,0,0,0,0,0.0
stimulator remarkable storyboarding visualization,34.735,44.42066250000001,30.220000000000002,-114.475,49.0,41.6,104.0,14.554592549557764,32.113800000000005,46,4,0,4,1,15,4,4,0.0,0.455,0.545,0.5574,0,0,0,0,0,0,0.0
shit get serious amp life short get beef fell want say fuck f,2.823076923076922,4.085766692307693,3.0953846153846136,96.0246153846154,74.38461538461539,8.276923076923078,20.692307692307693,8.841846274778883,0.7662923076923076,49,1,12,1,1,15,12,13,0.475,0.452,0.073,-0.7964,0,0,0,0,0,0,0.0
californian infect next week people live california right,12.0075,17.249854749999997,8.180000000000003,50.66500000000002,64.0,13.200000000000001,33.0,11.20814326018867,6.49885,50,2,5,2,1,14,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
german official alarm see trump aggressive bn u bid take tbingenbased biopharmaceut,12.830000000000005,17.01269533333334,10.723333333333336,39.55500000000001,54.0,18.133333333333336,45.333333333333336,14.554592549557764,9.997233333333334,72,4,7,4,1,22,12,12,0.308,0.692,0.0,-0.4588,0,0,0,0,0,0,0.0
one tweet three source truth china new york time elon musk okay guess everythi,7.4378571428571405,9.38512707142857,1.6700000000000017,108.025,64.0,5.6000000000000005,21.142857142857142,3.1291,-0.8777714285714286,65,1,14,0,1,14,14,14,0.0,0.741,0.259,0.4939,0,0,0,0,0,0,0.0
remember back february talk racy super bowl halftime show good ol day,7.335000000000001,10.152869166666669,6.789999999999999,67.75500000000001,65.66666666666666,11.466666666666669,37.0,11.20814326018867,5.418900000000001,58,3,8,2,1,18,12,12,0.0,0.595,0.405,0.7783,0,0,0,0,0,0,0.0
