tweet,automated_readability_index,coleman_liau_index,flesch_kincaid_grade_level,flesch_reading_ease,gulpease_index,gunning_fog_index,lix,smog_index,wiener_sachtextformel,n_chars,n_long_words,n_monosyllable_words,n_polysyllable_words,n_sents,n_syllables,n_unique_words,n_words,sent_neg,sent_neu,sent_pos,sent_compound,economic_stress_total,isolation_total,substance_use_total,guns_total,domestic_stress_total,suicidality_total,punctuation
exact way ruleout surroundings,12.362500000000004,16.491370250000003,6.620000000000001,54.72500000000002,96.5,11.600000000000001,54.0,8.841846274778883,9.481300000000001,27,2,2,1,1,7,4,4,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
could accurate,10.184999999999999,7.6245875000000005,8.790000000000003,35.60500000000002,174.0,20.8,52.0,8.841846274778883,13.984400000000003,13,1,1,1,1,4,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
travel entire world reach beijing shanghaican anyb,11.675714285714285,16.931505142857148,5.682857142857145,66.7871428571429,69.0,8.514285714285714,35.57142857142857,8.841846274778883,4.429685714285716,44,2,5,1,1,11,7,7,0.0,0.845,0.155,0.0258,0,0,0,0,0,0,0.0
musthavehisteria,54.43,48.689532000000014,20.200000000000006,-47.97999999999996,229.0,40.400000000000006,101.0,8.841846274778883,31.6122,16,1,0,1,1,3,1,1,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
dear provide data news publish feb2013 investigation journalist enable u find root cause solution,13.829999999999998,17.364924857142853,10.098571428571432,47.59642857142859,50.42857142857143,11.314285714285715,56.857142857142854,11.20814326018867,7.920085714285715,84,6,8,2,1,24,14,14,0.0,0.692,0.308,0.5994,0,0,0,0,0,0,0.0
get everyone mama make tik tok account,3.6014285714285705,6.851760571428574,2.3114285714285714,90.95857142857145,86.14285714285714,2.8000000000000003,35.57142857142857,3.1291,1.6654000000000004,32,2,5,0,1,9,7,7,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
new york,-3.9450000000000003,-10.014965499999999,-3.01,120.20500000000001,204.0,0.8,2.0,3.1291,-3.8106,7,0,2,0,1,2,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
modi govt announce pradhan mantri graeeb kalyan yojana r lakh crore package support vulnerable sec,12.445999999999998,15.153876266666668,7.56666666666667,67.53000000000003,53.0,8.666666666666668,48.333333333333336,8.841846274778883,5.284333333333334,84,5,9,1,1,22,15,15,0.114,0.723,0.163,0.2023,0,0,0,0,0,0,0.0
seriously men flog 7 answer criticism throw daily want,7.143333333333334,10.964292222222227,6.2755555555555596,66.10000000000002,71.22222222222223,12.488888888888889,31.22222222222222,11.20814326018867,5.632022222222222,46,2,6,2,1,14,9,9,0.422,0.459,0.119,-0.5106,0,0,0,0,0,0,0.0
davido look publicity stunt pull promote dead arrival song mafo mafobut coro,10.0825,13.582782250000001,6.789999999999999,67.75500000000001,59.833333333333336,8.133333333333335,45.333333333333336,8.841846274778883,5.159733333333334,65,4,7,1,1,18,12,12,0.254,0.592,0.154,-0.4019,0,0,0,0,0,0,0.0
tell gran phone boris,1.7650000000000006,3.261705500000005,0.7199999999999989,97.025,119.0,1.6,4.0,3.1291,-2.6587,18,0,3,0,1,5,4,4,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
incredibly government agency publicly track case u nyt,10.24125,15.044910625000004,6.705000000000002,61.24000000000001,67.75,13.200000000000001,45.5,11.20814326018867,8.1201,47,3,5,2,1,13,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
lance coronai twig hope youre feeling well,3.7650000000000006,6.960115500000004,0.8049999999999997,103.54,81.5,3.2,33.0,3.1291,0.8438499999999998,36,2,7,0,1,9,8,8,0.0,0.381,0.619,0.6705,0,0,0,0,0,0,0.0
corona rhythm night certify platinum uk,8.259999999999998,12.587138333333336,6.416666666666668,59.745000000000005,82.33333333333334,15.733333333333334,39.333333333333336,11.20814326018867,8.721533333333335,34,2,4,2,1,10,6,6,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
borris johnson fuck,6.759999999999998,7.655925000000003,5.246666666666666,62.79000000000002,132.33333333333334,1.2000000000000002,36.333333333333336,3.1291,2.859933333333334,17,1,1,0,1,5,3,3,0.636,0.364,0.0,-0.5423,0,0,0,0,0,0,0.0
interview hit home essentially guy say one go kill first hunger,6.763636363636362,9.839634454545457,5.863636363636363,72.61545454545457,68.0909090909091,11.672727272727274,29.181818181818183,11.20814326018867,4.462381818181818,53,2,8,2,1,16,11,11,0.427,0.573,0.0,-0.7717,0,0,0,0,0,0,0.0
go life time one fearsees two fear,0.9100000000000001,3.4918457142857164,-1.0599999999999987,115.13000000000002,91.85714285714286,2.8000000000000003,21.285714285714285,3.1291,-1.121742857142857,28,1,7,0,1,7,7,7,0.348,0.652,0.0,-0.4939,0,0,0,0,0,0,0.0
stop watch first update thing stupid watch,6.2928571428571445,10.211675428571432,2.3114285714285714,90.95857142857145,80.42857142857142,2.8000000000000003,7.0,3.1291,-2.040314285714286,36,0,5,0,1,9,6,7,0.528,0.472,0.0,-0.6808,0,0,0,0,0,0,0.0
cmon local say thank ava korea,1.1950000000000003,3.767361833333336,0.5166666666666693,102.04500000000002,97.33333333333334,2.4000000000000004,6.0,3.1291,-2.5968,25,0,5,0,1,7,6,6,0.0,0.667,0.333,0.3612,0,0,0,0,0,0,0.0
please stop bored,3.620000000000001,3.736024333333333,-2.6199999999999974,119.19000000000003,139.0,1.2000000000000002,3.0,3.1291,-3.6434,15,0,3,0,1,3,3,3,0.652,0.0,0.348,-0.25,0,0,0,0,0,0,0.0
usual wont exaggeration say herethat downfall country go mullah,9.475000000000001,13.579648500000005,10.73,35.94500000000002,64.0,8.0,50.0,8.841846274778883,6.612000000000002,55,4,4,1,1,19,10,10,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
thin serious,5.475000000000001,1.7447365000000055,8.790000000000003,35.60500000000002,184.0,20.8,52.0,8.841846274778883,13.984400000000003,11,1,1,1,1,4,2,2,0.565,0.435,0.0,-0.0772,0,0,0,0,0,0,0.0
world die men wont forget give daily dose death rape threat woman online http,6.166,7.314074933333334,5.206666666666667,84.45000000000002,66.33333333333334,6.0,15.0,3.1291,-0.7649999999999997,64,0,11,0,1,19,15,15,0.599,0.339,0.063,-0.9454,0,0,0,0,0,0,0.0
nut november say here masturbation march,9.044999999999998,13.567113500000005,6.416666666666668,59.745000000000005,80.66666666666666,9.066666666666668,39.333333333333336,8.841846274778883,5.4965333333333355,35,2,4,1,1,10,6,6,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
man say aint worried codeine,0.41000000000000014,2.7873866666666665,0.5166666666666693,102.04500000000002,99.0,2.4000000000000004,39.333333333333336,3.1291,1.7265333333333341,24,2,5,0,1,7,6,6,0.0,0.679,0.321,0.2235,0,0,0,0,0,0,0.0
time salute give standing ovation toctorsnursespolicearmysecurity guardsambulance driverscleane,34.38,45.17914700000001,18.505,-23.359999999999985,16.5,13.200000000000001,70.5,11.20814326018867,12.58885,88,5,2,2,1,21,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
1ncentral state govt cut least day salary employee work warrior get salary sit ideal honest tax payer private sector give salary know fact job,13.923750000000005,12.120653875000002,9.995000000000001,66.15000000000003,51.916666666666664,14.600000000000001,40.66666666666667,13.023866798666859,5.265716666666666,119,4,18,3,1,33,22,24,0.07,0.705,0.225,0.6808,5,0,0,0,0,0,0.0
