tweet,automated_readability_index,coleman_liau_index,flesch_kincaid_grade_level,flesch_reading_ease,gulpease_index,gunning_fog_index,lix,smog_index,wiener_sachtextformel,n_chars,n_long_words,n_monosyllable_words,n_polysyllable_words,n_sents,n_syllables,n_unique_words,n_words,sent_neg,sent_neu,sent_pos,sent_compound,economic_stress_total,isolation_total,substance_use_total,guns_total,domestic_stress_total,suicidality_total,punctuation
really sad heart break one happen let world know killi,4.765000000000001,7.6997975000000025,1.2900000000000027,103.62500000000001,74.0,4.0,10.0,3.1291,-2.146,45,0,9,0,1,11,10,10,0.274,0.726,0.0,-0.5256,0,0,0,0,0,0,0.0
eldest ask yo gd make feel gd happy love life home without school kid,4.41,5.605222857142859,2.5128571428571433,101.98214285714286,70.42857142857143,5.6000000000000005,21.142857142857142,3.1291,-0.6442000000000001,56,1,13,0,1,15,13,14,0.0,0.603,0.397,0.836,0,0,0,0,0,0,0.0
like country youll love huawei home uk move drop huawei g vendor china trans,5.852,6.922084866666669,4.420000000000002,90.09000000000002,67.0,6.0,21.666666666666668,3.1291,-0.11833333333333318,63,1,12,0,1,18,14,15,0.112,0.532,0.356,0.6808,0,0,0,0,0,0,0.0
like country youll love huawei home uk move drop huawei g vendor china trans,5.852,6.922084866666669,4.420000000000002,90.09000000000002,67.0,6.0,21.666666666666668,3.1291,-0.11833333333333318,63,1,12,0,1,18,14,15,0.112,0.532,0.356,0.6808,0,0,0,0,0,0,0.0
jamaat much dangerous want destroy first,9.044999999999998,13.567113500000005,4.449999999999999,73.84500000000001,80.66666666666666,9.066666666666668,39.333333333333336,8.841846274778883,5.4965333333333355,35,2,4,1,1,9,6,6,0.606,0.275,0.119,-0.743,0,0,0,0,0,0,0.0
welp go saving,-1.0899999999999999,-2.1438266666666674,1.3133333333333361,90.99000000000002,149.0,1.2000000000000002,3.0,3.1291,-2.5534000000000003,12,0,2,0,1,4,3,3,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
person slide dm abuse muslim allegedly spread look,7.88625,12.104985125000002,3.7550000000000026,82.39000000000001,72.75,3.2,20.5,3.1291,0.0400999999999998,43,1,5,0,1,11,8,8,0.375,0.625,0.0,-0.6369,0,0,0,0,1,0,0.0
whether want survive fight epidemic like yoga ayurveda treatment yoga increase,13.18636363636363,17.857613090909098,8.009090909090908,57.23363636363638,54.45454545454545,8.036363636363637,65.54545454545455,8.841846274778883,8.311472727272728,68,6,5,1,1,18,10,11,0.166,0.446,0.389,0.3612,0,0,0,0,1,0,0.0
real light end tunnel congratulation naijaat least come vain refuse take bribe,10.8675,14.56275741666667,6.789999999999999,67.75500000000001,58.166666666666664,8.133333333333335,28.666666666666668,8.841846274778883,2.453066666666667,67,2,9,1,1,18,12,12,0.364,0.428,0.209,-0.2263,0,0,0,0,0,0,0.0
let drive away make whole world yogcoronas chain broken yog connect everyone,10.0825,13.582782250000001,3.84,88.905,59.833333333333336,4.800000000000001,37.0,3.1291,1.9213999999999998,65,3,9,0,1,15,12,12,0.22,0.78,0.0,-0.4767,0,0,0,0,0,0,0.0
israel shut covid19 clinic palestine arrest staff palestinians dont even rig,10.475000000000001,14.07276983333334,5.806666666666668,74.80500000000002,59.0,4.800000000000001,37.0,3.1291,2.4664,66,3,7,0,1,17,12,12,0.188,0.705,0.107,-0.257,0,0,0,0,0,0,0.0
make good use period pandemic invent something bring income life extend yo,9.297500000000003,12.602807083333339,7.773333333333333,60.70500000000001,61.5,8.133333333333335,28.666666666666668,8.841846274778883,3.2705666666666673,63,2,6,1,1,19,12,12,0.0,0.685,0.315,0.5574,1,0,1,0,0,0,0.0
bmc selectively test high risk asymptomatic contact confirm patient even though commu,13.615000000000002,17.992670500000003,9.740000000000002,46.60500000000002,52.333333333333336,11.466666666666669,53.666666666666664,11.20814326018867,8.125566666666668,74,5,6,2,1,21,12,12,0.16,0.84,0.0,-0.2732,0,0,0,0,0,0,0.0
shit,-2.09,-21.868679999999998,-3.3999999999999986,121.22000000000003,349.0,0.4,1.0,3.1291,-3.9778000000000002,4,0,1,0,1,1,1,1,1.0,0.0,0.0,-0.5574,0,0,0,0,0,0,0.0
meanwhile karnataka hotspot kalaburagi crowd gather siddhalingeswara chariot festival conduct de,20.89363636363636,27.47918745454546,9.081818181818182,49.54272727272729,38.090909090909086,8.036363636363637,83.72727272727273,8.841846274778883,10.966927272727274,86,8,4,1,1,19,11,11,0.0,0.758,0.242,0.4939,0,0,0,0,0,0,0.0
life still continue,6.759999999999998,7.655925000000003,5.246666666666666,62.79000000000002,132.33333333333334,14.533333333333335,36.333333333333336,8.841846274778883,8.219933333333335,17,1,2,1,1,5,3,3,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
