tweet,automated_readability_index,coleman_liau_index,flesch_kincaid_grade_level,flesch_reading_ease,gulpease_index,gunning_fog_index,lix,smog_index,wiener_sachtextformel,n_chars,n_long_words,n_monosyllable_words,n_polysyllable_words,n_sents,n_syllables,n_unique_words,n_words,sent_neg,sent_neu,sent_pos,sent_compound,economic_stress_total,isolation_total,substance_use_total,guns_total,domestic_stress_total,suicidality_total,punctuation
cancel trip schedule march due even willing give refund despite give year travel credit purchase feb th unfair youatleast give till never,14.404545454545456,13.857170363636367,10.153636363636362,61.45045454545455,49.90909090909091,8.8,44.72727272727273,3.1291,3.967490909090909,116,5,12,0,1,32,20,22,0.191,0.712,0.097,-0.3612,0,0,0,0,0,0,0.0
even focus let forget warm winter europe since start,6.096666666666668,9.65765866666667,2.342222222222226,94.30000000000003,73.44444444444446,3.6,9.0,3.1291,-1.913533333333333,44,0,7,0,1,11,9,9,0.176,0.648,0.176,0.0,0,0,0,0,0,0,0.0
yrold pay national insurance two year lose job due inquired jobseeker,9.332727272727272,13.046825909090916,6.936363636363637,64.9245454545455,62.63636363636364,11.672727272727274,47.36363636363637,11.20814326018867,7.117836363636366,59,4,7,2,1,17,11,11,0.313,0.687,0.0,-0.4767,2,0,0,0,0,0,0.0
indeed hat policemen duty even face grave risk,5.53125,9.165059625000005,3.7550000000000026,82.39000000000001,77.75,8.200000000000001,20.5,8.841846274778883,2.0501,39,1,6,1,1,11,8,8,0.439,0.561,0.0,-0.5719,0,0,0,0,0,0,0.0
could stand trump protect american peoplewere worried pocketbook access,16.04,22.070677444444456,8.89777777777778,47.30000000000004,52.333333333333336,12.488888888888889,64.55555555555556,11.20814326018867,10.682022222222223,63,5,4,2,1,16,9,9,0.186,0.593,0.22,0.1027,0,0,0,0,0,0,0.0
generation z want name folk love call everybody millennialsmillennials,15.516666666666666,21.417360666666674,14.142222222222223,9.700000000000017,53.44444444444445,12.488888888888889,42.333333333333336,11.20814326018867,7.073133333333335,62,3,6,2,1,20,9,9,0.0,0.522,0.478,0.6705,0,0,0,0,0,0,0.0
yesterday question wisdom parliament continue everything else shut troll pounce sad,15.327272727272721,20.53027263636364,9.081818181818182,49.54272727272729,49.909090909090914,15.30909090909091,56.45454545454545,13.023866798666859,10.35329090909091,73,5,6,3,1,19,11,11,0.2,0.581,0.219,0.0772,0,0,0,0,0,0,0.0
day rediscover farming,11.470000000000006,13.535776000000006,13.113333333333333,6.390000000000043,122.33333333333333,14.533333333333335,69.66666666666667,8.841846274778883,13.63326666666667,20,2,1,1,1,7,3,3,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
virusits come,7.829999999999998,4.684661999999999,8.790000000000003,35.60500000000002,179.0,20.8,52.0,8.841846274778883,13.984400000000003,12,1,1,1,1,4,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
start hashtag challenge pl share show solidarity medical professional c,12.771999999999998,17.6955442,10.73,35.94500000000002,57.0,16.0,60.0,13.023866798666859,11.452,62,5,5,3,1,19,10,10,0.0,0.513,0.487,0.5719,0,0,0,0,0,0,0.0
funny suggest casual worker save extra 23 per hour get prepare,6.335454545454546,9.305102545454549,6.936363636363637,64.9245454545455,69.0,8.036363636363637,29.181818181818183,8.841846274778883,3.297836363636364,52,2,6,1,1,17,11,11,0.0,0.503,0.497,0.7845,0,0,0,0,0,0,0.0
californian infect next week people live california right,12.0075,17.249854749999997,8.180000000000003,50.66500000000002,64.0,13.200000000000001,33.0,11.20814326018867,6.49885,50,2,5,2,1,14,8,8,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
make dead eye episode cheer fan maybe call tom talk dead eye,3.8024999999999984,5.742980916666671,1.8733333333333313,103.00500000000001,73.16666666666666,4.800000000000001,20.333333333333336,3.1291,-0.7852666666666668,49,1,11,0,1,13,10,12,0.387,0.36,0.252,-0.6124,0,0,0,0,0,0,0.0
get get end day gonna let stop party spring breaker still,3.017500000000002,4.763005750000001,1.8733333333333313,103.00500000000001,74.83333333333334,4.800000000000001,20.333333333333336,3.1291,-0.7852666666666668,47,1,11,0,1,13,11,12,0.158,0.647,0.194,0.128,0,0,0,0,0,0,0.0
every mistake correct delayed uturn call great leadership respond change situati,14.04272727272727,18.926676909090915,6.936363636363637,64.9245454545455,52.63636363636364,8.036363636363637,65.54545454545455,8.841846274778883,8.0142,70,6,6,1,1,17,11,11,0.262,0.488,0.25,0.2023,0,0,0,0,0,0,0.0
trump never one miss opportunity inspire prejudice stoke division tomorrow one day cl,11.518461538461537,14.940876230769234,11.26461538461539,37.455384615384645,55.92307692307692,17.50769230769231,51.46153846153846,14.554592549557764,10.480138461538463,73,5,7,4,1,24,12,13,0.285,0.455,0.26,-0.125,0,0,0,0,0,0,0.0
case ind yet privilege community free bend rule make authority contain,9.760909090909092,13.581357818181822,5.863636363636363,72.61545454545457,61.72727272727273,8.036363636363637,47.36363636363637,8.841846274778883,5.358745454545456,60,4,7,1,1,16,11,11,0.0,0.53,0.47,0.7269,0,0,0,0,0,0,0.0
Laughing Out Loud citizen tv event organizer woman tweet regularly talk like dont doctor,9.620000000000001,11.625965666666666,8.353333333333339,61.890000000000015,59.0,11.333333333333336,41.66666666666667,11.20814326018867,5.709666666666667,75,4,9,2,1,23,15,15,0.0,0.678,0.322,0.6908,0,0,0,0,0,0,0.0
never see road dead time morning keep good job,2.956666666666667,5.737758000000003,2.342222222222226,94.30000000000003,80.11111111111111,3.6,20.11111111111111,3.1291,-0.47242222222222185,38,1,7,0,1,11,9,9,0.0,0.525,0.475,0.7463,1,0,0,0,0,0,0.0
pledge ill strictly follow janta curfew sunday pm strengthen indias fight c,9.690000000000001,13.09279466666667,3.84,88.905,60.666666666666664,8.133333333333335,28.666666666666668,8.841846274778883,2.1805666666666674,64,2,10,1,1,15,12,12,0.344,0.51,0.146,-0.4767,0,0,0,0,1,0,0.0
ptm suspend queeta gathering happen th march due pandemic ptm also suspend,9.297500000000003,12.602807083333339,7.773333333333333,60.70500000000001,61.5,11.466666666666669,45.333333333333336,11.20814326018867,6.772233333333335,63,4,7,2,1,19,10,12,0.315,0.685,0.0,-0.5574,0,0,0,0,0,0,0.0
die morning god whythis become history somedayill make sure make child wash hand tell die first online class,11.381666666666668,12.281371611111116,6.507777777777779,80.465,55.111111111111114,7.2,40.22222222222222,3.1291,2.6551555555555555,91,4,13,0,1,23,16,18,0.275,0.458,0.268,-0.296,0,0,0,0,0,0,0.0
