tweet,automated_readability_index,coleman_liau_index,flesch_kincaid_grade_level,flesch_reading_ease,gulpease_index,gunning_fog_index,lix,smog_index,wiener_sachtextformel,n_chars,n_long_words,n_monosyllable_words,n_polysyllable_words,n_sents,n_syllables,n_unique_words,n_words,sent_neg,sent_neu,sent_pos,sent_compound,economic_stress_total,isolation_total,substance_use_total,guns_total,domestic_stress_total,suicidality_total,punctuation
reason wasnt discover earlier u,2.7650000000000006,5.7273121666666675,6.416666666666668,59.745000000000005,94.0,9.066666666666668,39.333333333333336,8.841846274778883,6.041533333333335,27,2,3,1,1,10,6,6,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
want drop today young african female rapper playing share,8.713333333333331,12.924242555555555,4.964444444444446,75.50000000000003,67.88888888888889,3.6,31.22222222222222,3.1291,1.6953555555555564,49,2,5,0,1,13,9,9,0.169,0.403,0.427,0.296,0,0,0,0,0,0,0.0
know state people die medical issue like diabetes count,7.666666666666668,11.617609000000002,4.964444444444446,75.50000000000003,70.11111111111111,8.044444444444444,31.22222222222222,8.841846274778883,3.4820222222222217,47,2,6,1,1,13,9,9,0.291,0.522,0.187,-0.34,0,0,0,0,0,0,0.0
ayurveda cure prince charles covid19 office denies claim ayush minister shripad naik,13.222500000000004,17.50268291666667,7.773333333333333,60.70500000000001,53.166666666666664,8.133333333333335,53.666666666666664,8.841846274778883,6.513066666666667,73,5,6,1,1,19,12,12,0.203,0.797,0.0,-0.4215,0,0,0,0,0,0,0.0
insanecorona death vs epidemic day first death,8.984285714285715,13.571590285714294,5.682857142857145,66.7871428571429,74.71428571428571,14.228571428571428,35.57142857142857,11.20814326018867,7.19397142857143,40,2,5,2,1,11,6,7,0.609,0.391,0.0,-0.8316,0,0,0,0,0,0,0.0
omg closei think test breaththen realize tying,8.984285714285715,13.571590285714294,5.682857142857145,66.7871428571429,74.71428571428571,2.8000000000000003,35.57142857142857,3.1291,2.599685714285715,40,2,3,0,1,11,7,7,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
think already,7.829999999999998,4.684661999999999,-3.01,120.20500000000001,179.0,0.8,52.0,3.1291,2.6744,12,1,2,0,1,2,2,2,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
wait pls bc want merch break bc lose job bc carolsh,1.625454545454545,3.4252515454545467,1.572727272727274,103.37909090909093,79.0,4.4,20.090909090909093,3.1291,-0.8294363636363635,41,1,10,0,1,12,9,11,0.203,0.602,0.195,-0.2732,1,0,0,0,0,0,0.0
make quarantine day book online class guruqfor detail visit website guruq app,10.475000000000001,14.07276983333334,7.773333333333333,60.70500000000001,59.0,8.133333333333335,37.0,8.841846274778883,4.3514,66,3,6,1,1,19,12,12,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0.0
gocorona nocorona share new slogan,9.330000000000002,13.560845999999998,0.5200000000000031,100.24000000000002,89.0,2.0,45.0,3.1291,2.533000000000001,30,2,4,0,1,6,5,5,0.0,0.645,0.355,0.296,0,0,0,0,0,0,0.0
hellye,7.329999999999998,-10.108978,-3.3999999999999986,121.22000000000003,329.0,0.4,1.0,3.1291,-3.9778000000000002,6,0,1,0,1,1,1,1,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
minister molao btv via video call presenter studio ko btv journalist rest dial heee,9.120000000000001,11.485073857142861,6.727142857142859,71.76785714285714,60.42857142857143,11.314285714285715,35.42857142857143,11.20814326018867,4.673657142857143,70,3,10,2,1,20,13,14,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
state government suspend isolation amp social distancing easter agreement,17.086666666666666,23.377311000000006,12.831111111111113,19.100000000000023,50.11111111111111,16.933333333333334,64.55555555555556,13.023866798666859,13.558688888888891,65,5,2,3,1,19,9,9,0.352,0.423,0.225,-0.2023,0,1,0,0,0,0,0.0
think cock miss due,-0.5899999999999999,0.32178000000000395,-2.2299999999999986,118.17500000000001,124.0,1.6,4.0,3.1291,-3.4762,16,0,4,0,1,4,4,4,0.615,0.385,0.0,-0.296,0,0,0,0,0,0,0.0
pretty sure precorona one scenario social medium ask people would give sport day certain amount moneywell today day pay,13.107368421052634,13.898020789473684,7.967368421052633,71.78157894736843,51.631578947368425,9.705263157894738,40.05263157894737,8.841846274778883,3.813378947368422,101,4,13,1,1,26,18,19,0.058,0.625,0.317,0.7351,0,0,0,0,0,0,0.0
mr jake tapper request investigate whether natural man make say america uk israel behind disaster vaccine also israel terror amp panic deliberately create world specially america,19.286538461538463,17.661885346153845,16.33461538461539,24.260384615384652,41.69230769230769,15.015384615384617,64.46153846153845,13.023866798666859,9.561430769230771,153,10,9,3,1,48,24,26,0.297,0.577,0.126,-0.802,0,0,0,0,0,0,0.0
ensured people compulsorily wear mask urban area municipal corporation municipality,18.424,24.751365400000005,16.630000000000006,-6.35499999999999,45.0,20.0,60.0,14.554592549557764,13.714000000000002,74,5,4,4,1,24,10,10,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
spread base two factors1 dense population is2 dense population,11.330000000000005,16.190826444444443,8.89777777777778,47.30000000000004,62.333333333333336,12.488888888888889,42.333333333333336,11.20814326018867,7.073133333333335,54,3,6,2,1,16,7,9,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
go go go athavle athavle,-0.08999999999999986,1.8011440000000007,2.8800000000000026,83.32000000000004,109.0,2.0,45.0,3.1291,3.187000000000001,20,2,3,0,1,7,2,5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
weve new group subject matter expert become political journalist create rabbit2 adapt pol positioning,13.702000000000005,16.721836533333338,13.860000000000003,22.410000000000025,50.333333333333336,14.0,48.333333333333336,13.023866798666859,8.736333333333334,88,5,5,3,1,30,15,15,0.0,0.789,0.211,0.296,0,0,0,0,0,0,0.0
reason wasnt discover earlier u,2.7650000000000006,5.7273121666666675,6.416666666666668,59.745000000000005,94.0,9.066666666666668,39.333333333333336,8.841846274778883,6.041533333333335,27,2,3,1,1,10,6,6,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0
infection would cross lakh india april lockdown icmr researchthe num,11.359000000000002,15.931588900000001,6.010000000000002,69.785,60.0,8.0,40.0,8.841846274778883,4.661000000000001,59,3,6,1,1,15,10,10,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0.0
weekend battle science religion easter service wonder win,12.0075,17.249854749999997,9.655000000000001,40.09,64.0,8.200000000000001,58.0,8.841846274778883,8.54885,50,4,2,1,1,15,8,8,0.21,0.484,0.306,0.296,0,0,0,0,0,0,0.0
service do warrior like mother give life baby pure form divinity must offer prayer happiness amp prosperity advisor union minister state health family welfare govt,17.257599999999996,15.70767636,13.984000000000002,39.33200000000002,45.4,16.400000000000002,57.0,14.554592549557764,8.981800000000002,139,8,12,4,1,42,25,25,0.0,0.692,0.308,0.8689,0,0,0,0,0,0,0.0
every disaster tear script development novel late disastrous pandemic history mankind read malvikaas story shes help farmer treeproject,17.321578947368415,19.158940105263163,12.314736842105265,40.61315789473687,42.68421052631579,13.915789473684212,61.10526315789474,13.023866798666859,9.097063157894736,118,8,10,3,1,33,19,19,0.296,0.519,0.185,-0.6124,0,0,0,0,0,0,0.0
people die today today alone hospitalwhy figure much high spain ital,8.904545454545456,12.512294000000004,5.863636363636363,72.61545454545457,63.54545454545455,8.036363636363637,20.090909090909093,8.841846274778883,1.5242,58,1,8,1,1,16,10,11,0.396,0.604,0.0,-0.7096,0,1,0,0,0,0,0.0
