hashtags,place,text,user_description,user_location
,,"@samstein First the Left tried to frame /oust Trump for Russian Collusion, then for Ukrainian Quid Pro Quo, and now they’re trying to use Covid as an excuse to wreck the economy go get rid if him

I think the actions of Dems are unAmerican, outrageous, and downright seditious","Retired CFO, Patriot, Conservative Constitutionalist, 2nd Amd Supporter, Penn State Grad - Political Science, Fitness Enthusiast, SHADOW BANNED Since Aug 2017",Pennsylvania
COVID19ireland,,"RT @JenCullen2: Extract from @ECDC_EU graphic re classrooms.

*Any* person in a classroom with a #COVID19ireland case for &gt;15 mins is a clo…",,Ireland
,,"Today I stumbled upon my Tomie dePaola interview from some years back. He died right after the pandemic was hitting hard, in late March, when we were all still freaking out. He was such a sweet man in our interview. I’m sorry we didn’t give him an honoring. Maybe at years end. https://t.co/Yodu8xKhDp","Kids public radio producer, organic farmer & partner of the original @Twittelator. Opinions expressed are solely my own.","Albuquerque, NM"
,,RT @JordanSchachtel: You would be shocked to hear about what US college students are going through on campus. Many are forced to stay in th…,Hebrews 11:1.#WWG1WGA.  Protect the children.  Pray for President Trump and his family.  Meme collector.,
,,RT @TeeJaay1up: Me doing physiotherapy for my baby after he completes a 5 hour training session for project mbappe,My side chic got pregnant by her main dude and I’m offended. King and Vagabond. #YNWA!,Scagetti
,,Can you all please stay the fuck inside because I really miss the gym and little bit of body I had before quarantine is starting to fade,22. Disgraced former meteorologist. Premiere Pro Certified Editor. DM for rates. Insta: itslarryii and editsby_larry.,"Florida, USA"
,,"RT @NathanJRobinson: If Biden doesn't win after Trump caused hundreds of thousands of people to die, can we finally agree that running unin…",,
,,RT @Lkekebackup: Reimburse partial or all. After losing 6 days online plus the covid i deserve your tributes and worship $bbr allmylinks fo…,,
,,"RT @SERAPNigeria: Restricting access of Nigerians to clean water at a time millions of people are drinking contaminated water, and the coun…",Legal practitioner cum businessman. Limits exist only in the mind.,"Abuja, Nigeria"
LordOfLies,,"RT @JohnRMoffitt: After the #LordOfLies was done with his super-spreader Nazi Hate Rally in the People's House on Taxpayer Money, we can on…",seasoned. mom and gmom to two and four legged critters. daughter of the bucker. live in the desert but a citizen of the universe. waiting to #DumpTRUMP,"Las Vegas, NV"
,,RT @SethAbramson: BREAKING: Senior White House Official Tells CNN All Americans Will Get COVID-19; White House Position That Pandemic Mitig…,"Creator of WombLoveOlogy, Naturopath, Master Herbalist & Formulator, Momma, Writer, Fire-Eater, ☺ #wombloveology  Creator","Ellenwood, GA -East of ATL"
JEENEET,,"RT @11Petitioners: Another climate activist from South Africa asking for postponment of #JEENEET 

@DrRPNishank  Can't u hear LOUD MAJORITY…",Jai hind,
,,"RT @Gem_WifeOfRhye: One thing to understand is that this is a satanic ritual...even if you don’t believe in God &amp; the devil etc, those in p…",,
,,RT @JuddLegum: Just a reminder that Trump fired the U.S. pandemic response team in 2018,Love People,
,,"RT @LicypriyaK: Thank you @xiyebastida sister, one of the leading global voice for Climate Change for supporting and standing with the mill…",🚩धर्मो रक्षति रक्षितः🚩,
COVID19,,"This week's #COVID19 update from Public Health discusses the status of testing in the county, as well as providing an initial glance at state metrics announced today: https://t.co/8YZNmpFKGs https://t.co/FaXAcIXhi2",Placer County's official Twitter account - sharing news and information about California's best kept secret! Retweets are not endorsements.,"California, USA"
,,@rumireports @ecoyuri Coronavirus took down the leaders of japan and north korea it seems...(tgj),just wanna make the world laugh and put a smile on people face so they can forget about their foodstamps and government cheese and fema camps,
,,RT @Pramod_CPKota: Aprox 60% people (65 lacs = 25 Lacs students + 40 Lacs parents) will travel from one city to another due to JEE/NEET exa…,,
,,RT @ALDF: The industrial animal agriculture system is already responsible for outbreaks of swine flu and avian flu which have killed thousa…,"🌴🐒Penelope vegan, animal rights activist. Apes are my favorite. Animals are not here to eat, wear or entertain. End DCMT. End animal racing. End speciesism.",tropical beach
Covid19Combat,,"#Covid19Combat If ContainmentZone ""Design's"" imprecise, n Lockdown rules too tight, then we may b unnecessarily losing on Economic rejuvenation in zones dat would otherwise hv potentially completed Unlock-3 n mounted local economies back on track! So, push4 best professionalism","Sanskrit, Bhagavad Gita. Avid interest Yoga & Meditation. Love my Vizag~India, my BJP Jananee Janma Bhoomischya Revere Mahatma Gandhi, NaMo. RTs no endorsements","Pune, Maharashtra, India"
,,"RT @KIMANIICHUNGWAH: .@ahmednasirlaw .@Paul_Muite .@MarthaKarua.@Wakabando True, MOST ELOQUENT,And i heard something about UCHUMI- Economic…",Trucker,Tanzania
,,RT @TeeJaay1up: Me doing physiotherapy for my baby after he completes a 5 hour training session for project mbappe,"Always Forward, Never backwards IG:celebrate_4life Personal Trainer💪🏽",Boston 
,,RT @GillMLouise: Asked if he's at all concerned that MP Craig Kelly is discrediting the experts by promoting hydroxychloroquine in parliame…,I sometimes retweet because I can’t believe that some folk are so ridiculous. Most times I tweet because I’m interested. Go Power and Maggies!,"South Australia, Australia"
,,@NicciStevens77 No one gives a toss if you wear a mask or not it’s all in your head 😊,"Have an opinion about most things ,love my family and Norwich City ,come on you yellows ,cats and all animals","East, England"
,,RT @DelhiPYC: Every student's life is important for development of nation. Student community is currently suffering a lot from mental angui…,think me ... think no....,
,,RT @CaraLisette: The actual health secretary doesn’t know that nurses already administer vaccines. Embarrassing. https://t.co/QcYKOwA44j,,
,,Wear a mask and have a nice day.,"Wrestling, music, and (films)",US
,,"RT @BloombergCA: The operator of the Trump International Hotel and Tower in Vancouver files for bankruptcy, citing a plunge in revenue afte…","island girl, twitter critter",British Columbia
,,"RT @LicypriyaK: Did @myogiadityanath ji lie to the nation? He said nothing wrong was happen in the UP BEd Exam. Then what is this?

#Postpo…",,
,,"And after all these people contracting covid-19, Mulago, a national referral hospital will only attend to Sam Bitangiro because he might be the only VIP there. Others will be left on thier own. 

Is it so hard to boycott those rallies? @NickNicklison https://t.co/fmw35Y7kQg","I'm intellectually curious, strongly attracted by intelligent people and conversely, strongly repelled by fools.",
,,RT @ndtv: Coronavirus Pandemic Should Not Be Taken Lightly: Harsh Vardhan https://t.co/pjUIg5yP3a https://t.co/D9KBvEehB1,"If we are not ashamed to think it, we should not be ashamed to say it.",
,,"RT @80_mcswan: Tory MP Andrew Bowie showing complete disregard of Social distancing rules 
This photo should be shared to shame him.
It is…","Volunteer with TeamHope / Shoeboxe appeal
Director of Tallaght & District Credit Union Limited
Peace Commissioner",Dublin Ireland
SoniaGandhi RahulGandhi,,"RT @VamsiChandReddy: We, @INCIndia @IYC @nsui @MahilaCongress activists, under the leadership of Smt #SoniaGandhi ji &amp; Shri #RahulGandhi ji…",,India
,,RT @DiamondandSilk: This civil unrest and the lies surrounding this Pandemic are organized and manufactured by the left to hurt President T…,A true Patriot 🇺🇸💪🇺🇸 and very Deplorable.,"Connecticut, USA"
feelsgreatbaby WearAMask,,RT @Tweeeety86: You know I had to zoom! 😍😏 #feelsgreatbaby #WearAMask https://t.co/Rb9w7hfRAj,LB102/Row11/Seat9 3rd generation SF fan #SFGiants Proud member of #Faithful and #DubNation ! 🏆🏆🏆 #GoNiners 🏆🏆🏆🏆🏆,Oracle Park 
,,"Of the 65 people who attended the wedding, 30 people contracted COVID-19. They infected 35 other people, and those people infected 22 more people. Among the 87 people total who were infected, 59 of them have shown symptoms. https://t.co/hyToVsFhFR",Good enough to help,"Norman, OK"
,,"RT @Nher_who: Sudhir Chaudhary is more angry with Rhea's interview than on 1000 COVID deaths daily.

Priority of a Sarkari Ghulam",,
,,"RT @WisDems: ""Trump and Republicans in Congress have spent years systematically sabotaging seniors’ healthcare. Between undermining Medicai…","Official Twitter of Gwen Moore for Congress Campaign. For more information, please visit http://t.co/R0oQFe14TQ","Milwaukee, WI"
,,"RT @MitraMotamed: Iran coronavirus update: Over 96,000 deaths, official says most of the country is “red”
https://t.co/eDgZ8JUIqC
#Coronavi…",Restaurantleiter,
COVID19 education health hunger childlabour FairShare4Children LLSummit2020,,"#COVID19 could reverse decades of progress on #education, #health, #hunger &amp; #childlabour for hundreds of millions of children. If we want every child to be in school, healthy &amp; free, world leaders must give a #FairShare4Children. Join the call: register now for #LLSummit2020!","A growing movement which brings together Nobel Laureates and global leaders to inspire, collaborate and act to protect the world's most vulnerable children.",
,,"RT @LicypriyaK: Dear @narendramodi ji,

THIS IS THE BIGGEST LIE

that

World Famous Climate Scientists @DrRPNishank ji control all floods i…",,
,,"RT @moosa_duke: With fears coronavirus may increase in the autumn, the government has announced plans to double the amount of people who re…",Trainee Solicitor,"East Midlands, England"
,,Pre-COVID me in the supermarket https://t.co/b0F9lR5roA,"Writer. Women Surrealists, visual culture, film, & the avant-garde // Cat lover, rock ‘n roller // sabinastent@gmail.com",Home 
BTSARMY,,"RT @BTSPublicity: #BTSARMY vote on the poll below for 'Dynamite' to get a radio spin ❗ 
🔗https://t.co/BWMfZYgu7m https://t.co/ShGLs6W058",Light it up like dynamite💜💜💜 @BTS_twt,
,,RT @_aaronhilll: They would’ve been taken care of COVID https://t.co/Aw8ofzA49v,vt ‘23,
,,"RT @BNODesk: NEW: U.S. reports first confirmed case of COVID-19 re-infection, the 4th worldwide. The patient from Nevada had symptoms both…",Novelist and Musician. Published on @TheICIR @newsdiaryonline @TheoperanewsNG @TheNakedConvos,@ObKeeng
,,"RT @MirabaiAkoijam: Students are not our enemy, they're the pillars of the nation, in this Covid-19 pandemic, appearing examination is dang…","Proudly Indian, Navodayan...Wildlife lover... SRKian❤......
yt channel - https://t.co/otWrbTaQJs",
,,RT @renren_vvv: me waiting for this pandemic to end:,a true king never crowns himself 🧬,
NEET_JEE COVIDー19,,"RT @curlykrazy07: Protesting to postpone exams #NEET_JEE for the fear of #COVIDー19 

Social distancing RIP 😭😭😭 https://t.co/EyVIyL0eP1","Still alive, पता नहीं क्यूं..... retweets not accepted as a matter of fact",India
,,RT @TeeJaay1up: Me doing physiotherapy for my baby after he completes a 5 hour training session for project mbappe,"Positivity🌹


I'm here to have a good time☺
please follow my business page on Instagram 👇👇",
,,"RT @kylegriffin1: CBS: A company whose largest shareholder is Trump campaign manager Brad Parscale received nearly $800,000 from the federa…","Comprehensive Anticipatory Design Scientist, R&D Data Tech, Strategist, Futurist, Researcher, Writer, frmr Knight-Ridder&Dix journalist, veteran, dad.","Pittsburgh Area, Midwest, USA"
,,RT @GLNCOCO_: working from home sure does has its advantages https://t.co/M2scw0zPH3,Cool Kinda Crazy But Awesome as well,"Wonderland,Oz"
,,"RT @cardiologist07: Karnataka daily COVID cases of yesterday is 9,386 

It was just 4,000 before KCET exam.

I'm worried of the situation a…",Neet aspirant,
,,"RT @benshapiro: Quick everybody forget what you said about social distancing last night during Trump's speech, guys",Cinephile | #Writer | Voice of a Bond villain | Snarksmith | Ex videogame critic @DallasNews & @GamingTrend | #GoFrogs,"Charlotte, NC"
,,RT @RealDeniseWelch: What I find baffling is the amount of well known people messaging me privately to give me support scared shitless to s…,Try and live life to the full but don’t try too hard, North West England
,,"RT @LicypriyaK: Dear @narendramodi ji,

THIS IS THE BIGGEST LIE

that

Eminent Scientists @DrRPNishank ji invented a new vaccine called ADM…",🎶 is life,
SpeakUpForStudentSafety PostponeJEEAndNEET,,"@DrRPNishank Covid cases have crossed 34 lakh mark and Public Health Foundation Of India suggested that peak of pandemic would come by September , so we urge the government to Postpone NEET &amp; JEE Exam.
#SpeakUpForStudentSafety 
#PostponeJEEAndNEET https://t.co/IirxYShNY4",,
,,"Please come. Bring water, wear a mask and bring a poster. https://t.co/moIpV3qWrg",,"Severna Park, MD"
,,"RT @mrjamesob: As well as working from home for 30 years, the Richard Littlejohn ordering *other* people back to the workplace today has do…",,
,,RT @TeeJaay1up: Me doing physiotherapy for my baby after he completes a 5 hour training session for project mbappe,ig: arturcarvalho13,
,,"RT @DoctorLFC: Gentle reminder: With every passing day, we're 24 hours closer to the day when life will be closer to what it was pre-COVID1…","I stalk random people and survive engineering.


PS - Proceed at your own risk.","Karnal, India "
,,"RT @MediatedReality: An appreciation &amp; reflection thread on @SchittsCreek. 

I’ve seen every episode. My daughter and I began watching the…",Broadway obsessed • cookie connoisseur,
,,"RT @SitaramYechury: Instead of the single minded focus on combating the pandemic and providing relief to people, Modi government has abando…","करो आवाज इतनी बुलंद,कि आसमां थरथरा जाते। करो रास्ते चोक-चौबंद,कि दुस्मन पैर ना रख पाते।",
,,"RT @Harshraj2412: By These Two Pictures You Will Clearly Understand that Why @DrRPNishank aren't Postponing JEE-NEET Exam in Covid !
@Swamy…",NEET ASPIRANTS,
,,RT @lanifeli_: I can’t stand parents that don’t have an ounce of patience for their kids,2 Timothy 4:17 // 🌯,
,,"I was hoping my kids could get an IEP, specifically with no masks and no social distancing, you know a normal education.",I do not consent,
,,What Happens When No One Invites You to Their Pandemic Pod? https://t.co/GqHzLHUtRN https://t.co/ZtzByPZEbG,"Finally a way for us agents to express ourselves with clients, friends & colleagues. App now available for IPhones.","Los Angeles, CA"
,,"RT @mmpadellan: To every last trump supporter who has watched him trample the laws, spread hatred, ignore COVID-19 until it was too late, d…",#resistance #STAYTHEFUCKHOME #WEARAFUCKINGMASK #SAVEUSPS   #BlackLivesMatter.                                              Bills/Sabres/Yankees/AtlHawks/The U,"Pittsburgh, PA via Buffalo, NY"
,,UK COVID-19 reproduction R rate steady at 0.9-1.1 @Reuters https://t.co/R1QU2gMwN1,"Personal twitter: anything and everything I find interesting. Philosophy, politics, ethics, sci-fi, science, Doctor Who. 
Challenges not accepted, sorry!",Ireland
,,RT @nsui: The decision to conduct NEET and JEE examinations in the Corona epidemic is putting students at risk of corona. The mental stress…,,
,,D&amp;E says we gonna give you songs for once covid-19 is over https://t.co/3Wu3WRtc0D,"I’m not as good as you think, I’m not as bad as they think ✨ poutyHyuk to poutyHae @haesthetic86 ✨",💙❤️
,,"RT @PMLUCKNOW: Supreme Court In UGC Matter: We cannot cancel Final Year Exams but Postpone it due to Covid-19

Supreme Court In JEE/NEET Ma…",hard work,
SpeakUpForStudentSafety SpeakUpForStudentSafety SpeakUpForStudentSafety,,"@vijayrupanibjp Why is Govt playing with the life of  Students by organising Exams in such a pandemic situation?
Anti Students Govt
#SpeakUpForStudentSafety 
#SpeakUpForStudentSafety 
#SpeakUpForStudentSafety",Congress supporter,
,,"@JanellePierzina Janelle, the only person to make a covid mask look phenomenal.",bojack horseman supremacy,
,,This is frus tearing. They did Bob so dirty. https://t.co/A4CcZKg7wE,"Creator of content. 👽 Destroyer of worlds. 🪐
Some kind of sentience from the nth dimension.
Does art stuff when he’s not doing a sad.
TM/NB 👾 he/they","San Francisco, CA"
,,"RT @JLcab74: For a Government on record that forbids a “car led recovery” after the Pandemic.

Why wouldn’t they cap the outrageously dispr…",serving the cab traveling public of London for the last 35 years,london
,,RT @NSUIAssam: Will the Education Min Of India take responsibility for any students that gets infected with Covid-19 while giving NEET JEE…,"#medicostudent 
@Neet hustle","नई दिल्ली, भारत"
,,RT @MartinFiszbein: “Rugged Individualism and Collective (In)action During the COVID-19 Pandemic” – new paper with @SamuelBazzi and @melese…,"Economista. CEDES. Doctorando UBA y UAHen - IELAT.
Coordinador del Área de Desarrollo Económico en https://t.co/MZfi4VJKBR",Argentina
SpeakUpForStudentSafety,,"Developed countries like America, Germany, Australia etc.. have postponed or cancelled their exams due to COVID-19 pandemic. 

Why risk the lives of Indian Students by conducting exams?
#SpeakUpForStudentSafety",Official Account Of Jalen Ahmad | Writer | Poetry | Blogger | Political Observer | Social Activist | Critics | Comedian | RTs are not endorsements | Follow 🔙,"New Delhi, India"
,,"RT @MSubstandards: First Nations are politically dispensable - just as Jews are, too. If he isn’t appealing compensation for FN children, h…","🇨🇦Christian: God-lover, 🇨🇦🇮🇱🇺🇸 Politically (incorrect) aware Blue Conservative with a social conscience... End Times student. #MCGA #MAGA","Regina SK, Canada"
,,RT @DiamondandSilk: This civil unrest and the lies surrounding this Pandemic are organized and manufactured by the left to hurt President T…,I'm just an average person who loves God Family and America,United States
,,"Running a business during quarantine is negotiating a sales deal while your three-year-old is in the background audibly singing, ""I'm on the potttttty!! I'm on the potttttty!!""",Founder + CEO @sheswanderful | Creator of @witsummit : Bessie Awards : Wanderfest | @bostinno 50 on Fire | @businessinsider Top 17 Travel Changemaker,Boston
,,"RT @H_MitchellPhoto: As Trump rambles on, covid is quietly making its way through the crowd.","Worked in showbiz...Retired... Passionate Resister...""I call BS"" at the drop of a hat...Love dogs...Love my life in CA...Good friend to those who befriend me...","Venice, Ca  90291"
,,RT @EXOL_Clinic: I muted this tweet bc my notifs are 🔥😱 thank you all for the support and keep spreading the word! We might find Eri nurses…,EXO | ot9/ot12 .period. | 🔞 |  it's me neko | them/they | hate me = love me | EXO,near your fridge
,,RT @thehill: American Medical Association criticizes new Trump coronavirus testing guidance https://t.co/Bebhtrn45f https://t.co/XeIy1C16CC,Software Engineer,
corpgov Governance,,"Chinese pharma maker is in talks with several countries to get emergency approval to use an experimental Covid-19 vaccine, developed with the Chinese military, before the completion of large-scale safety and effectiveness trials https://t.co/RSdk1UtepI #corpgov #Governance","Loves family, friends, art, music,politics,humour,reading, old movies, cycling ,the #ABC and #SBS . Life never ceases to amaze.",
JEE_NEET,,"RT @SonuSood: Incase #JEE_NEET happens: To all the students who will be appearing &amp; are struck in flood hit areas of Bihar, Assam &amp; Gujrat.…",,"670, Basant vihar , kota, RAJ."
,,"RT @wcbuecker: Currently the Coronavirus death toll has surpassed the combined American deaths in both the Vietnam War and WW 1 combined 
A…","Mother, Grandma, USPS Retiree. Marching post 11/16  ""Organize, agitate, educate, must be our war cry"" Susan B Anthony PNW Seahawks Vote BlueNMW  #RESIST","Spokane, WA"
,,"RT @jonfavs: Oh my God

The new White House message on Covid: “Everybody is going to catch this thing anyway.”","Engineer, currently seeking entry level engineering employment. Aficionado of airplanes, electronics, wireless technology, and the internet of things.",
,,"RT @JeromeFosterII: At the @UN Headquarters, holding a climate strike to urge the United Nations to protect and support the young people of…",bro what is this,"New Delhi, India"
,,Pandemic can’t prevent me from bullying &amp; getting bullied by grandpa anymore. 🖤,"Niki. Likes kittycats, skulls, werewolves, prowrestling & the beach. Silly stuff. Suspicious morlock. Rotten guts. No. I’m unavailable.",
,,"RT @TabiJoda1: Infinite Solidarity from Africa 

Today is an important day for students as 11 states are approaching to SC for urgent heari…",sapiophile,
,,"RT @WendyMeer11: The young Veteran who lost her freedom trying to save our democracy. Plain and simple. She took the hit for all of us.

Th…","real worries put to words, action & activism 💛🐝 #EndFamilyDetention #FamiliesBelongTogether #CloseTheCamps #RightMatters #LupusAwareness","Ohio, USA"
SpeakUpForStudentSafety,,"RT @rohanrgupta: 500 cases : Complete lockdown
75000 cases : Students forced for exams !

#SpeakUpForStudentSafety",,
,,"RT @meaggiepie: 54 people including 35 incarcerated people now have coronavirus at the York County Jail. 

We have made routine arrests* a…","Queer, latedeaf, TBI, vEDS & fibro. Recently housed. They/them. https://t.co/Nt0HmF9zu1","Where I fit, Maine"
,,"RT @RCBTweets: 7 days of quarantine in Bengaluru followed by 7 days in Dubai and 6 COVID tests later, the team finally got a chance to spen…","medico
none just fun🙃😇",
JEE_NEET,,"RT @SonuSood: Incase #JEE_NEET happens: To all the students who will be appearing &amp; are struck in flood hit areas of Bihar, Assam &amp; Gujrat.…",,
,,"@moyensdebord @MezKing347 @1SpencerGarrett @christoq Yes, COVID has had an impact, but you shouldn't be ignorant of the fact that Trump has fanned the flames of racism &amp; division. Read his Tweets, listen to his words, or be reminded of him tear gassing peaceful protesters so he could have a photo-op with a Bible he's never read.",Commercial diver forced into early retirement due to a car accident. Vancouver Canucks & BC Lions fan — not a Donald Trump fan. Not looking for a relationship.,"Comox Valley, British Columbia"
BuildForwardBetter,,"RT @ShastaHAli: What do you get when you ask children &amp; young people what should happen to #BuildForwardBetter? You get the best, most hone…",Corra Foundation's vision is for a society in which people create positive change and enjoy fulfilling lives.,"Scotland, United Kingdom"
,,"RT @pbhushan1: Crores of jobs lost; GDP collapsed; Covid deaths rising: No matter, Yeh dil mange Mor! https://t.co/JjyjX5j2BS","Businessman, Social and political worker. Nehruvian. Proud to be a part of congress.",New Delhi
lockdown,,@cbignell11 middle england at the moment a stabbing every other day since #lockdown started,every word is like a stain on silence and nothingness,middle england
,,"RT @OpIndia_com: Bharat Bandh to Coronavirus: Opposition always has a reason to postpone JEE exams

Every year, lakhs of students take the…",,
,,RT @spectatorindex: JUST IN: Number of worldwide coronavirus recoveries passes 17 million.,"Civil Engineer. 🏏 Cricket & Football ⚽️ Lover. Supporter of @narendramodi, @AmitShah, @BCCI, @ICC, @IPL, @BJP4India, @BJP4Bengal, @WhiteHouse, @FCBarcelona.","Kolkata, India"
,,CDC study reveals how coronavirus can spread in airplanes ⁦@SenateGOP⁩ ⁦@RandPaul⁩ ⁦@realDonaldTrump⁩  https://t.co/6skMykdBc0,Fitness & Wellness Soccer Industry News NBA MLB Science News History General News Trending Politics,"New York, USA"
,,"RT @davidaxelrod: Herman Cain was not remembered during the RNC nor at its mask-less, Super Spreader finale on the WH lawn.  Maybe it was b…",https://t.co/WRIlnbSqpY,
,,"RT @RedWineBlueUSA: The lack of a national COVID response took self-care Saturdays from us. Send help, and request your absentee ballot TOD…","MSW, AFVet wife, mom. Equity.Justice. Absentee voting is easy. My suburban housewife friends are coming to the polls Nov.3,2020 No more BS! Biden/Harris🇺🇸",
,,"RT @DaaruBaazMehta: READ N SHARE

A very insightful piece of the upcoming MCD Elections in Delhi in 2022 and how AAP is preparing.

AAP is…",Dont Underestimate The Power Of a Common Man(AAM AADMI):,"New Delhi/Siliguri/chapra,Ind"
,,@udontknowme1202 @real_defender @Acosta Maine will that you as you enter so you don’t have to quarantine for 14 days. That’s anyone,PharmD MBA MTM Making health better keto/ LC Laughter daily is a must,NJ
,,"Stop Using Gowns, including Surgical Gowns, from Laws of Motion PPE - Letter to Health Care Providers | FDA https://t.co/4tA1fsRE9I",Non-Profit Founder/Leader | ❤️ Doc | Artist | Scientist | Educator | Med News Anchor https://t.co/LDrNxgwhA4 | RT ≠ endorse | Disclaimer here: https://t.co/2jtJQZQU0H,Harvard Professor & MD
,,Same 💔💔 https://t.co/6rcTYjHfIJ,"My experiences make me compassionate & aware,My perspective of life keeps widening,I handle things so differently,I have a long way to go! #ACM #Journalism💪🏽",Groove St San Andreas (Lagos) 
