hashtags,place,text,user_description,user_location
,,RT @BBimbodoll: Thinking about all the cock I’m missing out on due to corona https://t.co/a9uxxLWYzm,🕷🖤Assume the position you disgusting sluts and prepare your holes to be ripped open and bred by your Succubus Queen Sindel of Otherworld🕷🖤,DOMINATRIX 
,,@mdnij34 The corona virus.,"#Resistance, Ridin with Biden, Retired R.N., widow, feminist. Daughter in recovery from COVID virus. Equal rights for all. Remove Trump ASAP. Pro Choice.","Orlando, FL"
,"Lincoln, NE","I'm pretty sure pre-Corona there was one of those scenarios on social media asking people if they would give up sports for 30 days for a certain amount of money.

Well, today is Day 30.

Pay up.","Best known as Kennedy's dad. Sports geek.

Your mom's favorite promotional marketing professional and delivery driver.

#AlwaysRoyal #RockChalk #RollJays","Lincoln, NE"
,,"@CNN Mr. Jake tapper you are requested to investigate whether *Corona is a natural virus or a man made virus. It is said that America, UK and Israel are behind the disaster. The vaccine is also with Israel. 
Terror &amp; panic is deliberately created in the world specially in America.",I am a retired Executive.,
,,"RT @ashokgehlot51: It should be ensured that people compulsorily wear mask in 196 urban areas (municipal corporations, municipalities and m…","Account having 20600 followers since 2013 Suspended. My fight will continue. Manglorean, ಕನ್ನಡತಿ @inckarnataka @DkShivakumar @INCIndia @sardesairajdeep",
,,"RT @muttonshunter: The spread of Corona virus is based on two factors.

1. How dense the population is.

2. How dense the population is.",mostly mdzs rts //  banner by @flyinggraceon 😘😘😘,WANGXIAN HELL
,,RT @PJkanojia: Go Corona No Corona Go Corona No Corona Go Athavle No Athavle,"Rebel by heart 💓, views are personal 👀, retweet’s are not endorsement.","Rajendra Nagar, India"
,,"RT @911Amelia: We've a new group of ""Subject Matter Experts"" 
1. Become a political journalist create a rabbit
2. Adapt pol positioning to…",M,
,,RT @jaboukie: the reason corona wasn’t discovered earlier in the US,"""You always have a choice. You can either roll over and die or you can fight."" Warning: non-endorsed honest and political feelings below. Always Keep Fighting",California 
,,"RT @amitmalviya: Corona infections would have crossed 8.20 lakh in India by 15 April if there was no lockdown here: ICMR Research.

The num…",Proud Indian citizen of New India,"New Delhi, India"
,"Kansas City, MO",This weekend it’s a battle between science (corona virus) and religion (easter service). Wonder who wins 🤷‍♀️,"transgender, Chiefs, Royals, Ku Jayhawks, 10 year Air Force veteran. Donut Sommelier, If you like water then you already like 72% of me","Kansas City, MO"
ThankYouCoronaWarriors,"Chennai, India","@haresh_pithva The service done by Corona warriors is like mother giving life to a baby. The purest form of divinity. We must offer prayers for their happiness &amp; prosperity
#ThankYouCoronaWarriors

urs,
@amarprasadreddy 
Advisor to Union Minister of State for Health and Family Welfare, Govt.",Nationalist  |  Chairman - Special Olympics International Football Championship 2019. |  President - National Youth Council of India,India
Corona BeGreenie,,"Every disaster tears up the script of development, the novel #Corona Virus is the latest and most disastrous pandemic in the history of mankind. Read Malvikaa's story and how she's helping farmers:
https://t.co/Z8nzKdnk6D…/
#BeGreenie 1000treeproject https://t.co/BMWdOUCnjA",,
,,"RT @PointlessBrexit: 953 people died today of corona virus today alone (in hospital)

Why are our figures so much higher than Spain or Ital…",Doctor. Gardener. Political junkie.,
askktr,,"RT @pvenkatesh1986: #askktr @KTRTRS Inspite of huge work out and efforts from TS govt to fight Corona virus pandemic, few people are still…",Anantha Laxmi is my World ♥️.,"హైదరాబాద్,భారతదేశం"
,,"RT @un__fckwitable: Keep using corona to push ya bills back If ya want to, it’s a set up shit gonna have ya in debt the rest of the year wh…",@BOSSCOLLECTION5,where b*tchez cnt go
,,RT @MarkYoungTruth: Hey @JoeBiden did you miss the 2 trillion dollar bill that covered all Corona Treatment? Get out of the basement once i…,"Mother, Mathematician, Educator, Marine Brat, Patriot and Concerned Citizen. Love God, my Family, Friends and Country!","Illinois, USA"
,,RT @pbhushan1: Read this fantastic thread &amp; judgement of the court of Malawi which struck down as illegal the Emergency orders issued by th…,,
,,"RT @fuuckyofeelingz: Corona virus got us bored as fuck, hungry as fuck and horny as fuck 😂","i fucked yo bitch 🤣🤷🏽‍♂️ , Follow Me On Instagramhttps://instagram.com/fuuckhowufeel?igshid=w3mrdmdpca5zRJZ",
,,RT @realjuliasong: Just fkn need a hug tbh before the Gates injects me with the corona coochies and then its over 😭😭😭,,in God’s hands
,,... I would call it misdiagnosis where people are dying from other causes but it’s  just been attributed to the China virus https://t.co/HRIN4BdBpW,If you are easily offended - CLICK AWAY NOW! I am offensive so get over it! My opinions are my opinions and I WILL BLOCK YOU! I not woke all politically correct,Earth
Corona,,"RT @99freemind: Dr. Colleen Smith, whose video re ""Apocalyptic Elmhurst Hospital"" was run by the NYT to boost the #Corona fear factor into…",Concerned citizen,
,,"RT @TarquinHH: @sunny_hundal Sorry, if Corona really wants to panic the media it should come back as an incompetent non-white terror cell.","Proud🦁 Part Romany. Paints in oils, snake addict, loves cooking, speaks Somerset, sarcasm, Black Speech #supportthearts #rejoin #ToryScum #Toriesout",Somerset
,,"@omar_quraishi The situation has deteriorated in Saudi Arabia. Riyadh Governor is Corona is infected, his condition is deteriorating. He is placed on oxygen support in the ICU. The 500-bed King Faisal Hospital reserved for the Royal Family. Hiding is causing terrible harm.",TLP activist,"Madison, London"
,,RT @BankyW: So for the State Governments that have suspended isolation &amp; social distancing for Easter... do they have an agreement with the…,First things first rest in peace uncle Phil. #funny #FUCKSARS,Terra Incognita
,,"RT @Hiten16280986: 'Tablighi' program was also held in Pakistan, Malaysia in March has led to spread of Corona on large scale. India will h…","मेरे अकेले के शोर मचाने से.. हिन्दुत्व जागने वाला नहीं..
फिर भी मै यह कोशिश जारी रखूगां।
मां भारती के लिए।। 
⛳आप हो मेरे साथ⛳
⛳हो तो बोलो जय श्री राम⛳",हिंदुस्थान
,,RT @PakPMO: No government can win this war against Corona alone. We have to stand together as one nation and work in coordination. For that…,,"Lahore, Pakistan"
,,RT @andy_Brexit: rubbish. absolutely no need to extend,,Somewhere
,,RT @Shehzad_Ind: It is highly unfair.. criminally unfair.. suits some though.. the silence .. secular liberal silence &amp; silence in the medi…,Proud Indian | Nationalist | Ardent Father | Caring Husband | Obedient Son | Profound MODI Supporter,"Vadodara, India"
,,"RT @OpIndia_com: Corona positive Delhi Congress leader booked for hiding his visit to Markaz Nizamuddin, village Deenpur declared containme…",,
,,RT @BloodDonorsIn: I would like to thank @RedFMIndia for helping us to spread awareness for Blood Donation during this time when there is a…,"Positive mind..
Positive vibes...
Positive life....👩‍⚕️",India 🇮🇳 (भारत)
,,"RT @Afrasyabsatti: Corona Patient @Mubasshirsatti  from Tramari Islamabad Telling telling his story of visiting PIMS, Benazir Bhutto hospit…",,"الرياض, المملكة العربية السعود"
,,"RT @wishleeluck: corona pls, you’ve overstayed your welcome",ig: tsholofelo.ratsoma || “She is more precious than rubies” - Proverbs 31:10 🤍,Botswana. 
,,RT @nicksonr_: corona has proven to me that i can be locked in my house with nothing to do but homework and still not do homework,Cee so sassy 💁🏽‍♀️ and so much classy 💅🏽 with my baby Cashy 👶🏽💰💙 ♐️💗💎🍭🍬,"Gorgeous Prince Georges, MD"
,,Boris Johnson: A rejection of the MP’s £10000 corona virus ‘working from home’ allowance. - Sign the Petition! https://t.co/rwLZDUYsxM via @UKChange,Go big or go home,Scotland
IndiaFightsCorona,,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

🔹Corona Fact - 5
📍 How can I protect myself and my family members?

➡️ You can reduce your chances…",,"Hubli, India"
,,"RT @MaridhasAnswers: In Tamil Nadu, the Tablighis make up over 90% of the confirmed Corona cases. The media is covering up this truth by us…","Brings you simple but powerful tips and insights to enrich your day-to-day life...Worldwide supports by 3 million volunteers driven by a sense of oneness, love.","Perth, Western Australia"
,,"RT @asimjofa: We thank you @AzraPechuho, Health Minister, Government of Sindh for collaborating with us and giving us green signal for more…",A Muslim 💞 A Pakistani,
,,"RT @muttonshunter: The spread of Corona virus is based on two factors.

1. How dense the population is.

2. How dense the population is.",Yet another illustrators' works maniac. ⚠️ Lots of RTs. Avatar: @Hibarinrinrin,PST Area.
,,"RT @totemranch613: In 1957 Asian flu killed 1 mil people, in 1968  HK flu killed 1-4 mil, swine flu 18000, bird flu 75000 these  killed mor…","#MAGA #Trump #Conservative #Patriot #Veteran #Constitution #1A #2A, #BacktheBlue #ProLife #DraintheSwamp #BuildtheWall No DMs, No Twitter Romance",Washington State
,,"RT @the_law_himself: If this Corona thing go, these people go get contracts pass.",watch me do me #married #2kids follow mabilis.skincare on Instagram ❤️,
,,Diaries continuing! @cgpublichistory did you see these? https://t.co/CZnDneIRvl,"Happy-go-lucky anthropologist (Ethiopia/South Omo and Myanmar/Yangon), author of ""The Wheel of Autonomy"" and other stuff. You know what it's like.",
,,"RT @MashwaniAzhar: Masks are short worldwide, so we need to prioritise the use of available masks.

1) Healthcare Professionals
2) Frontlin…","District covener for #SocialMedia Government of the #PunjabInfoDepartmint #Bahawalnagar. 
Ex #PTISMT #Head #District #PTIBahawalnagar.",Lahore 
,,"RT @JuliaMolisho: A new Ebola case has been confirmed by @WHO in the DRC. 
We are fighting Corona and Ebola. Sad news 💔","24+1 ans. Féministe, noire et broke with expensive tastes",
COVID19,,"RT @peterrowlett: Circle packing, modelling/estimating and scheduling - mathematical topics linked to #COVID19 by @stecks. https://t.co/qMr…",,UK
,,@StuteeMishra Corona is new. ' .......Has no Religion' for Psudo Liberals!!,Enjoy the Life,
,,RT @quenblackwell: someone called the corona “a common cold with some bop in it” and now I can’t sleep,must get rid of toxic in community. she/her  fred weasley’s girlfriend ☀️,donut delight 
,,"RT @GentlemanGeorge: I honestly believe that any Brexiteer claiming to be happy with a further extension is NOT a Brexiteer.

No Delay @Isa…",As it is.,
NewToronto3,,"RT @ComplexMusic: ""B*tch, I'm openin' the fire, catchin' bodies like corona in the virus""

@torylanez bro 😭😭 #NewToronto3 https://t.co/aSyZ…",ig: oldsoulovo,United States
,,RT @RSommPod: Has your hoeing been impacted by the novel corona virus? Please share your testimonials with us,Keyana the Great warning : imma Gemini🎭,The Wood 🌴
QuarantineActivities LockdownCoronavirus,,"RT @am_hiya: Social distance is 
best Protection against Corona.

“ Sehat Kahani ” 😂😇😂
#QuarantineActivities 
😅😅
#LockdownCoronavirus https…","Social Activist
Writer
Poet",Abbottabad 🇵🇰
,,RT @jaboukie: the reason corona wasn’t discovered earlier in the US,I like to complain about the Mets and stans. 31. Lesbian. From GA. UNC alum. Not Hunter Biden.,"Philadelphia, PA"
COVID19,,"RT @Rita_Banerji: These predictions for #COVID19 are from 2010. 

Step 1 and 2 have happened.

Check out what step 3 will be.",Helping build a better world/ humans and mother nature coexisting/ issues of environment n injustices resolved/ the corrupt definitely not inheriting the earth!,"Mumbai, India"
دبي خليك_بالبيت كورونا dubai stAt home corona stayathome,,"RT @rashidmahboob: Dubai at night till down and stay at home
#دبي #خليك_بالبيت #كورونا 
#dubai #stAt at #home #corona 
#stayathome https://…","昭和生まれの人。
二次創作中心に落描き上げたり、気になる情報を摘んでます。あとネタバレはあまり気にしない派
漫画やアニメの二次創作物を読むのが大好きで、自分でも地味に活動中。リバ、女体化が好物で、地雷は面倒なので気にしない基本アニメファン。なのに、耳は節穴気味なので声では色々気付けない。物覚えも悪いです",東京都内
GodMorningSaturday,,"RT @Real_Sihan: #GodMorningSaturday
Stop the tobacco and other intoxicants because these are also corona virus. https://t.co/4u1xOOrfNh",on God duty,"Rewari, India"
,,"RT @DeepStateExpose: Rockefeller insider, Aaron Russo, explains the core of what the ""Corona Virus""/New World Order Agenda in 2 minutes! #N…",Those who run OUR social media platforms have far too much power and say!!!,"London, England"
,,corona probs best thing that could’ve happened to my bank balance,,
IshaOutreach,,"RT @rallyforrivers: #IshaOutreach volunteers distributed food packets in two panchayats and Nilavembu, a herbal drink that boosts immunity,…",A woman of righteousness joyfully,
,"Cape Town, South Africa","@piersmorgan Millions of us are indoors, eating crappy food and unable to excercise. Chances of many of us dying of heart related illnesses probably increased to an extent where it exceeds those at risk of corona deaths.",Proudly  🇿🇦. Terrible golf player.,"Cape Town, South Africa"
,,"RT @BlueVotr: Dear .@MSNBC, I’m currently watching your channel right now but as soon as you cut away to President trumps corona virus brie…","#Feminist
#BlackLivesMatter
#SecularHumanist
#TrumpOwnsEveryDeath
#ClimateChange
#NoBabiesInCages
#CBD
#FionaHillFanClub
AmateurCyclist
LGBTQ Fan 
Guns R Dumb","Westlake Village, CA"
,,"RT @harrydaniyan: @thefireofOla @GovWike So, those places remain under lockdown: the only virus-free places during this easter period are t…","i love your generation. of course, my former account was suspended.",abuja abroadian
,,@_don_b_ Corona be cockblockin,The Prize 🤩. Stay Dangerous. Stay Solid. 🐷K,"Inglewood, CA 🤟🏽"
,,"As we approach what is an unprecedented holiday weekend, we can’t forget those who are trapped at home with an abuser, with nowhere to go.  Spread the word to help us make a corona-specific domestic violence plan a priority for decision-makers. 👇 https://t.co/G4ipaUyOQA",,"Ile-de-France, France"
,,"RT @Akshay_Brigade: Akshay Kumar Sir's Donations 

Pulwama Martyrs ~ 5Cr
Assam Floods ~ 2Cr
Chennai Floods ~ 1Cr
CRPF Families ~ 1.08Cr
HFT…",#ᴀᴋsʜᴀʏᴋᴜᴍᴀʀ sɪʀ ʏᴇ ᴅɪʟ sɪʀғ ᴀᴀᴘᴋᴇ ʟɪʏᴇ ʜɪ ᴅʜᴀʀᴀᴋᴛᴀ ʜᴀɪ | ʙɪɢɢᴇsᴛ ᴅɪᴇ ʜᴀʀᴅ ғᴀɴ ᴏғ @ᴀᴋsʜᴀʏᴋᴜᴍᴀʀ | sɪɴᴄᴇ 𝟸𝟶𝟶𝟽 | ʀᴏʏᴀʟ ʀᴀᴊᴘᴜᴛ | 🙏राधे राधे🙏 |,"Unnao, India"
,,RT @DivyaSoti: Muslim mob pelted stones and opened fire on Police on being stopped from congregational prayer on shab-e-baraat amidst coron…,,
,,RT @Shehzad_Ind: It is highly unfair.. criminally unfair.. suits some though.. the silence .. secular liberal silence &amp; silence in the medi…,always evolving......,J & K
,,"but IT sure could get that stuff on IT'S head that IT calls hair,  cut!! https://t.co/SsGthizsdR","ALL American/Pro Police/Animal Lover/Conservative Woman of Faith, Family & Country/It is Well with My Soul/ #TrumpPence2020/WWG1WGA",USA
,,"RT @ScienceNews: The coronavirus may spread through the air, experts say.
 https://t.co/IC8MgwCCsj",Genderfluid Non-binary (He/Fae/They)/ Guitarist / Writer/ Nude Model/ Motorcycle Mechanic/Former U.S. Soldier/ Activist (srsly who isn't?) ❤️💛💚💙💜🖤,"Winston, Oregon"
YouCanBeatCorona,,"RT @Anusha73038148: #YouCanBeatCorona
@derasachasauda
As the danger of Corona virus spreads all over the world but by taking small precauti…",SANDEEP (SANDY),Kurukshetra 
,,RT @murtazawahab1: Kya yeh bhi Sindh hai ? Lockdown has been compromised because of Federal Govt’s wrong policies &amp; narrative. Who is to be…,General Secetary PSF Sukkur Division,"Sukkur, Pakistan"
,,"RT @GAURAVMAHAJANIN: Yogi Adityanath was the best amongst all CMs in dealing with corona.
He has ensured strict lockdown &amp; at the same time…",देश और समाज के लिए जो भी हो सके करने का संकल्प।,
,,@realDonaldTrump Continue prayers in temple for liberation from Corona.  mss bjp hanif,Manav Shees Hetu,"Maharashtra, India"
,,"RT @narendramodi: Great! 

Need maximum number of people to have Aarogya Setu on their phones. Let’s keep urging citizens to download the A…",| धर्मो रक्षति रक्षितः | BJP I.T.Vibhag State Executive Member Himachal Pradesh | Incharge Hamirpur District | Nationalist | RTs not an endorsement |,"Una, Himachal Pradesh, India"
,,@LibyaLiberty Corona biscuits in Egypt. Really good stuff. https://t.co/kROqSzdcMi,"Syrian-American. Raised in Syria, educated in the US, living in the ME. LFC fan. #YNWA. Anti-Trump. If #BLM offends you, you're a racist snowflake.","California, USA"
,,RT @tisDev: @friendsofrss Be it any country no1 is safe from the chinese apps..we all have seen how muslims used tiktok to spread wrong inf…,I love my india 🇮🇳,"Odisha,India"
,,"RT @ashokgehlot51: It should be ensured that people compulsorily wear mask in 196 urban areas (municipal corporations, municipalities and m…",Be your own kind of beautiful,
,,"So shall we join the disciples of our Lord, and making ready, by our loyalty to Him in the days of His darkness, for the time when we shall enter into His triumph in the days of His light.God will die with this pandemic and rise to give us freedom in this corona time.@the_law_him https://t.co/orbfSMiNON","Student at KNUST, Activist, Goal oriented","Accra, Ghana"
,,This has been my fear. A lot of us have probably contracted and beating it. The tragedy is passing it to people with weaker immune system. https://t.co/N36v1BwwlD,"I’m not your stereotype | @uiowa IWP alum | @LSENews alum | Opinion contributor, @AJEnglish | Columnist, @Daily_trust (Sunday).",Social Distancing 
,,RT @PrinciInsan: Corona Virus has been a sensation for  world since beginning of this year. We should follow these time tested tips from @G…,social worker,
,,"RT @safinady: Ya Allah help of us. Protect us.  Krakatau, gempa, covid corona. The All Powerfull. Forgive us our sins. https://t.co/Kgs4R9M…",dh ♡ wh ♡ wz ♡ ww | she/her,universe factory
,,"RT @Osi_Suave: America is using mass graves to bury victims of corona virus. 

America o  

America  

Dont worry now.  Go for Jumat and Ea…","I believe failure is the opportunity to begin again, this time more intelligently.⚽REAL MADRID⚽ [[Life is good, so live it up]]", Lagos.. 
,,"RT @muttonshunter: The spread of Corona virus is based on two factors.

1. How dense the population is.

2. How dense the population is.","18 years in household cavalry. 4 and a half years on tour, love my family and friends. clip your ego. pro logic. don’t need a # tools",
COVIDー19,,"RT @imMAK02: Mashesh,Abhishek and Srinavasa went to a checkpost and told officers they were Muslims,threatened to spread #COVIDー19 in the a…","Textile Designer,Adobephotoshop ,Fashion photographer,","surat,gujarat."
,,"RT @realfoodcures: Here are TEN more herbs that kill Corona virus:
https://t.co/LILhHgAqCU

Take this to your doctor and demand proven help…",,"Albany,Texas"
,,I rlly was supposed to see Xavier wulf last month but stupid corona fucked my shit up,$B$,
,,RT @Counsel_TAO: Boss Mustapha said he had no idea the rot in the health sector until this Corona thing. As per they don't kuku use Nigeria…,A realist to the core.......,Nigeria.
covid corona stayhome staysafe covi̇d19 learning celebration fun happyquotes,,"Stay safe @ home.. 
Everyday is a learning.. 
Make ur lockdown with learning..

#covid #corona #stayhome #staysafe #covi̇d19  #learning #celebration #fun #happyquotes https://t.co/uIfeLgLEVZ","VS Event Makers We create, you celebrate.
Our moto is to make the young talents to shine without any barriers.Gathering fresh buds to attain a massive platform.",Erode
,,"RT @Godmade__: SHO Pirabad, Inspector Sharafat Khan, obstructed &amp; assaulted by a group of men for simply doing her job when she tried to st…",Liberal Indian,Bangalore
,,"RT @lydiadepillis: NEW from me and the great @carolineylchen, because 5pm on a Friday is a great time for complicated science stories: Test…",Chief of Correspondents at ProPublica. Former Mexico City Bureau Chief at The New York Times. Raised in El Paso. At home on both sides of the border.,"New York, NY"
,,"RT @narendramodi: Great! 

Need maximum number of people to have Aarogya Setu on their phones. Let’s keep urging citizens to download the A…","Love all, trust a few, do wrong to none.",
SidsBhulaDunga50M,,"RT @SidShukla_1: Yessss... That's is more Important than Trend

Really respect you bhai for this Work

#SidsBhulaDunga50M

Sidhearts will M…",So Many Me And Sidhearts Smiles R Bcoz  of U...Sidharth Shukla,
,,"RT @JabaMogomotsi: The world needs to hear this in light of Corona virus:

""If My people who are called by My name will humble themselves,…","leaning with out gaining no achievements
#loveofmusic🎵🎼 and poems, l like to be happy the most.","Dar es Salaam, Tanzania🇹🇿"
,,"RT @NizamAhmadDaud: @syeerazak China , pretending they're safe from Corona be like... https://t.co/jwm5YQH6o9",sisi nakal sisi hitam,"Kuala Lumpur City, Kuala Lumpu"
,,RT @jaboukie: the reason corona wasn’t discovered earlier in the US,Lore. lesbian. tme. don't talk to me if you think seedless vascular plants are a more valid stage in plant evolution than bryophytes (bryophaters).,they/them • 22 • white
,,@DeptofDefense The American people. The people are very strong and brave and will defeat Corona as soon as possible,🇺🇸🇺🇸,واشنطن
IndiasHateVirus,,"#IndiasHateVirus
In india Extrimisam and hateism is on its peaks 
Muslims are getting called corona bombs 
They are getting killed 
But the @UN
Is sleeping","Pak cyber force
sign of death for enemys of Pakistan
سایہ خدائے ذوالجلال",invisible
,,"RT @zoo_bear: Vadodara resident was  Rajesh Sarang arrested for editing a letter of additional commissioner of police, the letter says “Niz…",#Parody,
,,"RT @TheKeralaPolice: Corona war .. 
we shall overcome.. https://t.co/aYldQaHNYe","BSMS , Humanitarian.","Dharmapuri, India"
,,"RT @Ra_Bies: To fight corona, all the CMs are doing good job except that of Mahabharata’s CM, Uddhav Thackeray. The no. of corona cases in…",,
BanTikTokApp Corona,,RT @modibhakt09: We request GoI to #BanTikTokApp. Some particular groups are inciting people to spread #Corona,Modi Bhakt,
,,RT @INisha25: Funny people 😝,"People first see ,then they think & assume and after that they believe on their own assumptions. Therefore, I prefer pantomime.","Delhi, India"
,,"@narendramodi @PMOIndia Kindly manage death ratio in out country in corona.  We should keep on eye. DO not just do only meeting meeting , take actions item.I know its easy to say for me ahd hard for you. Still but think on my tweet. Be Awesome Be Optimist !","Google Fan. Crazy tech guy.
Team leader + Scrum master.",Ahmedabad
,,"RT @InsanGeet77: Don't fear from corona , let's fight with it by following the precautions given by @WHOand the government . Stay at home,…",ਲਵ ਯੂ ਮੀਤ ਯਾਰਾ,
,,"@DOCTORATLARGE I can feel the pain . Last year my beloved mother die due to H1N1 (swine flue ) 
she survive 18 days on ventilator .
How can I forget. 
I can feel how corona patient family going through !

RIP 🙏",😉,india
,,RT @erigganewmoney: One question I wan ask be say “ if una fit use all this big money fight corona virus why una no come fit de pay each Ni…,,
PMIKFightsCorona,,RT @IqraRaj98975926: #PMIKFightsCorona The soon-to-be-activated force was first announced by Prime Minister Imran Khan last month in his tw…,"join PTI Volunteer Force , If You love Imran Khan , i am Khan & i’m not a terrorist , #PTIVF @PTI_VF Long Live Pakistan | Member Of #PTIVF","Punjab, Pakistan"
,,"RT @MarietjeSchaake: 600.000 face masks revoked after being distributed to Dutch hospitals, they were ordered from China, but do not meet s…",I love music & football! #30BG,"Edo, Nigeria"
,,RT @elle_vegas: Story of my Corona season 🤷🏼‍♀️ https://t.co/m3uAik39lZ,,
,,"RT @yehlog: On 8th April, 3 men in an auto came to a checkpost at KR Pet (Mandya district), told officials they were Muslims, threatened to…","IT
India 🇮🇳
Bombay.
Sab Taj Uchale Jaayege,
Sab Takht Giraye Jaayege,
Hum Bhi Dekhege.
Street Soul","Mumbai, India"
,,"RT @Orcusa1: Hospital workers across USA are being  furloughed or laid off.

Hospitals were just given 100 Billion in stimulus!

Based on t…",ΜOΛΩΝ ΛΑΒΕ   Tennessee,bristol tn
,,RT @IMMahmoodKhan: My leader leads from the front. Prime Minister interacted with our frontline doctors and paramedics of Covid-19 OPD at H…,"🇵🇰 Minister of State for Climate Change, Government of Pakistan | PTI MNA, #NA191 DG Khan | Member, PTI Core Committee & CEC | Central Deputy Info Secretary","Dera Ghazi Khan, Pakistan"
,,RT @Arnoldisbuoyant: Ebola seeing Corona achieving things it couldn't. https://t.co/RZMZNVGHUT,VOLARE #webdev #foodie #freelancewriter #musiclover,The quiet
,,"We are emerging as a new hotspot, we are not enough to douse the corona fire. https://t.co/51glbftThq",| தமிழ் | A Rationalist | A chronic procrastinator | Blessed to be followed by Namo |,Namma pakkathu ooruthaan
blockchain Corona,,"RT @DrNaseemNaqvi: Before #blockchain could tackle #Corona, the discussion should first start with the PEOPLE of blockchain - the ideas, re…","The official Twitter account of The British Blockchain Association. Hosting the 3rd Blockchain International Scientific Conference #ISC2021 on March 15, 2021.",United Kingdom
,,"RT @Osi_Suave: America is using mass graves to bury victims of corona virus. 

America o  

America  

Dont worry now.  Go for Jumat and Ea…","Fuck the terror by night & despair by noon, you're illimitable 🇺🇳🇺🇳",j = 20 + (j * 20)
,,Boris Johnson: A rejection of the MP’s £10000 corona virus ‘working from home’ allowance. - Sign the Petition! https://t.co/SiWUB5AyQb via @UKChange,,
,,RT @redgenkosi: The economic response to corona contained in our letter to Pres @CyrilRamaphosa hardly solves SA's structural faults &amp; rigi…,I RETWEET💯,South Africa
,,"RT @Pouissant1: Corona Virus vs Abortion.

947 abortions a day- stopped.

Soon, we will have saved MORE lives than Corona Virus took! https…","Certified Paralegal in Miami, Florida, 100% Trump supporter, #MAGA, #Conservative, #KAG","Miami, Florida"
,,RT @sardesairajdeep: News Today: 9 pm: govt in denial over community spread of corona: top docs tell us; How did a senior officer in Mahara…,,
,,@AnthonyOhayon And better corona numbers hopefully! Great trading AO!,,chicago
,,RT @jaboukie: the reason corona wasn’t discovered earlier in the US,"Machiavelli and Plato enthusiast- Secular Values. PoliSci Girl,  MPA, GIS analyst. Space Cadet* Recovering Twitter Addict; I relapsed.",
BestCMOfTheWorld,,"RT @narendramodi177: Who is Handling the State Better in Corona epide mics? #BestCMOfTheWorld

RT for                             Likes for…",Ek Bharat Shreshth Bharat...No compromise on Ideology...Never forget 1192 AD,"Punjab, India"
,,"I feel like the start of every conversation now begins with “Hey, hows corona been for you?” As if each person is not at home all day and has something interesting to say....",Um..... hi I guess                                   insta: yuvalalima,"Florida, USA"
,,RT @NRO: Blaming China and WHO Isn’t Scapegoating https://t.co/iIJagUlKuU via @richlowry https://t.co/7QCdOpVxKX,"Management Consultant, Economic & Financial Analyst, Global Logistics Strategist, Author, Parent, and Disgraceful Skier",
,,RT @CricCrazyJohns: Sachin Tendulkar will be helping 5000 people for a month with ration in Shivaji Nagar and Govandi area in this Corona p…,big fan of cricket because of Sachin Tendulkar,
