hashtags,place,text,user_description,user_location
,,RT @bandlersbanter: Canadian MP @MatthewGreenNDP posted a false tweet claiming that Israel demolished a Palestinian COVID testing center. @…,"Chief of Staff to the Associate Minister of Red Tape Reduction. 

Islanders & Bills. Classic film #TCM. Greyhounds and Italian Greyhounds.","Edmonton, Alberta"
,,@iaspankajpandey @DHFWKA @CMofKarnataka @BSYBJP @sriramulubjp @drashwathcn @mla_sudhakar @CovidKarnataka @Karnataka_DIPR @mysurucitycorp @rpobengaluru @nimmasuresh @CTRavi_BJP @RAshokaBJP @ITBTGoK This pandemic cannot be tackled from meeting rooms. Less meetings and more ground work is the ask of the situation. Every needs to get out of their meeting room and war room. Situation is out of hand already. Thanks to all the meetings,Politics Technology Government and Politics Media and Entertainment Humor Celebrities International,"Pune, India"
,,"@standamericanow @NikkiHaley Do you really want to buy masks from the same place that gave us COVID? Check the masks you buy wherever you go.  You will find ""Made in China"" on most boxes.  The only place I have found washable masks ""Made in the USA"" is https://t.co/cZNKxCsITt  .",,
,,"Maybe your side shouldn't have withheld effective treatments.  How many died because the Left couldn't let President Trump be right?  $3 a dose...this is the Dem party's chaos, carnage and destruction. https://t.co/vka4iMXNip",Proud Texan-American. Original 300. Direct but kind. Faulty filter sometimes...#MAGA. I stand with President Trump & USA. Constitutionalist. NOT LOOKING TO DATE,Texas
,,"RT @oliverdarcy: Sinclair's local TV stations across the country are set to air the discredited ""Plandemic"" researcher's conspiracy theory…",Full of bits and goo.,"Memphis, TN"
,,RT @depressicaxo: why is everyone posting their weight loss pics....I THOUGHT we was all eating  during lockdown????????,,
,,RT @DavidCornDC: McConnell seems to care more about live conservative judges than dead or unemployed Americans.,,
,"Bacolod City, Western Visayas","Mayo lang kita magreklamo kay mahal magpatest kay PRC while others have much higher costs and to think ha PRC was the first one NON GOVERNMENTAL ORGANIZATION to put up a testing center when this pandemic started. So before kita magreact,maresearch kita danay ha.Wag puro reklamo.",You Only Live Once 💙,"Bacolod City,Negros Occidental"
,,"RT @StephenKing: By this fall, the number of American dead as a result of COVID-19 will equal TWICE the number of Americans killed in the V…","Socially awkward high performer, sans apocalypse. I prefer a clutch, follow my heart, and idk why but for some reason I point and laugh at animals","LA, Maui, San Francisco, Maui "
,,"On the same day Super Junior Ministers get an additional €16,000+ allowance on top of their €124,000 salary 😡 https://t.co/IaeUNUlOvA","Love music, reading, sport, chess. Coach football. Man Utd & Connacht Rugby supporter. @SocDems Member. Luckily married Gail. Father to 3 curious children 🇮🇪",Ireland
COVID19 infection babies childbirth NewYork,,"Women who have #COVID19 are unlikely to pass on the #infection to their #babies during #childbirth if precautions are in place. Of 120 babies born at three hospitals in #NewYork, none tested positive for the disease after being born to infected mothers.  https://t.co/P8IAWxIHYY","A multi-award-winning independent pharmacy at the heart of our community. Daily health news, advice, services and offers on health products. Tweets Mon to Fri","Ilford, Essex"
