hashtags,place,text,user_description,user_location
,,"@AirlinesAlaskan I had to cancel my trip scheduled for March 23 due to Corona Virus, You were not even willing to give me a refund despite Coronavirus,  you gave me 1 year travel credit from purchase which was feb 25th Very unfair of you.atleast give me till 3.23.21 Never again",,
,,"RT @ErikSolheim: Even when we focus on the corona virus, let’s not forget that this has been the warmest winter in Europe since we started…","Proud #Indian ,I recycle time, #idea my strength #startup #travelworld #filmMaker #influencer #planttrees #entrepreneur believe magic  #peace #carbonneutrality",Bangalore Malaysia Netherlands
,,"RT @allisonpearson: My 24-yr-old has been paying National Insurance for two years. After losing job due to corona, inquired about Jobseeker…",💚Justiceforgrenfell💚,London
CoronavirusOutbreakindia,,RT @sneheshphilip: Indeed so. Hats off to the policemen who are doing their duty even when faced with grave risk. #CoronavirusOutbreakindia,"Dharma (wing?), Hindu Civilizational Nationalist, Rational Observer,(शठे शाठ्यं समाचरेत्) RTs ≠ endorsement.",Bharat
,,"RT @BillKristol: Those who could “stand up to Trump and protect the American people...were too worried about their pocketbooks, access, or…",President / CEO  Bellatino uomo inc,"New York, NY"
,,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",Booking:blackboydeeds@gmail.com// Timeless Records-TR.,ART!
,,RT @BDUTT: Yesterday I questioned wisdom of parliament continuing while everything else was shutting down. And trolls pounced. Sad to have…,,"جہلم, پاکستان"
,,RT @MakedaMorrison: Day 5: We have rediscovered farming,"sígueme y conoceme.
#FollowMeNow #twittertime","Guatemala city, Guatemala City"
,,RT @Marco_Acortes: Corona virus....its coming,#SeniorSalesforcedevelopers #12Superbadge #7xSalesforcCertifed #PD2 #Capgemini #Salesforceadmin #Salesforcedeveloper #Salesforcelightning #TrailheadAddiction,"Navi Mumbai, India"
bravodoctors,,RT @PuneethRajkumar: Starting this hashtag challenge - #bravodoctors  Pl share and show your solidarity to the medical professionals- our c…,STRONGLY BELIEVE IN KARMA ❤️,"Bengaluru, India"
,,RT @BelindaJones68: Funny how @cporterwa suggested casual workers should have saved the extra $2-$3 per hour they get to prepare for corona…,Tasmanian Aboriginal. Picasso of profanity. Collingwood supporter AFL. #RemoveTrump,"Claremont, Tasmania. lutruwita"
,,"RT @iam_johnw: “ 56 % of Californians will be infected by the corona virus over the next 8 weeks “
People who live in California right now…",👨🏽‍⚕️🎺🎙 Musician/Singer #RedefineSuccess IG: TrumpGroov R.I.P. Bean #MambaForever #WolfGang 🎮,"Florida, USA"
,,@connorratliff Just make more dead eyes episodes.. that will cheer all your fans up.  maybe call Tom and talk with him about Corona... And dead eyes,Robotics Engineer...,
,,"RT @CBSNews: “If I get corona, I get corona. At the end of the day, I'm not gonna let it stop me from partying”: Spring breakers are still…","Happy und weltbekannt in Speyer.
Proud Paps von 3 Kindern♀️♂️♀️
Madridista como todos los guapos.
Co-Fundador de la peña @aRMa_1902
Never explain. Never excuse.","Speyer, Rheinland-Pfalz"
,,RT @MJibranNasir: Not every mistake can be corrected with a delayed 'u-turn' calling it great leadership which responds to changing situati…,"MBA graduate, reader, squash player and music lover. Marketing professional love discussion on media, advertising, branding and politics.","Karachi, Pakistan"
