hashtags,place,text,user_description,user_location
BTS BTS_Dynamite BTSARMY WearAMask,,"RT @DrTedros: Thank you, #BTS for the uplifting #BTS_Dynamite and for reminding the #BTSARMY and the rest of us to #WearAMask and take care…",7Years ago my universe was created and the love of my life these 7 people have made me the happiest woman in the world and Ipromise you to always beby your side,
,,RT @mansi3331: @DrRPNishank Sir plz postpone exams in this pandemic situation,,
,,RT @taiylersimone: REQUIRED TEXTBOOKS??? IN A PANDEMIC???? You better send us a pdf link Professor Moneybags,"#여상 ◦ #김홍중 - 𝑠𝑤𝑒𝑒𝑡 𝑐𝑟𝑒𝑎𝑡𝑢𝑟𝑒, 𝑤𝘩𝑒𝑟𝑒𝑣𝑒𝑟 𝑖 𝑔𝑜, 𝑦𝑜𝑢 𝑏𝑟𝑖𝑛𝑔 𝑚𝑒 𝘩𝑜𝑚𝑒 💫
𝐹𝐴𝑁 𝐴𝐶𝐶𝑂𝑈𝑁𝑇 - @8t33zlovinghour my 🦋",she/her ; 🏳️‍🌈
,,RT @AmitRana_98: I'm a NEET aspirant. Yesterday testing team came and 8 members in my family including me is corona positive. Can the govt.…,,
Isreal Gaza IStandWithIsrael DynamiteToday DynamiteBTS gazageldikseçimegidelim gazageldiksecimegidelim FridayThoughts COVID19 COVIDー19 humanism,,"@TomFitton Really shameful act. 
Read the reality of #Isreal n #Gaza conflict.👇
https://t.co/IJhrzvquQy
#IStandWithIsrael #DynamiteToday #DynamiteBTS #gazageldikseçimegidelim #gazageldiksecimegidelim #FridayThoughts #COVID19 #COVIDー19 #humanism
At least show some respect and read this.👇","Manager by profession, political thinker by passion, Ethics is my soul, and Social activist by nature.","Washington, DC"
,,RT @ImcocoMash: This lady who was an assistant here just told me she had bought the shop. I’m so proud of her.bought it during Covid and is…,Candidate Property Practitioner || 📧 unathi@royalhomes.co.za,"Bloemfontein, South Africa"
,,RT @BreesAnna: It's a mistake to think all positive Covid tests are the same | The Spectator https://t.co/HqulaaT9E6,the older I get the more I believe it's all smoke and mirrors..,Scotland
INDIAunitedtoPostponeJEE_NEET,,"RT @Sohelrana424: #INDIAunitedtoPostponeJEE_NEET
NTA is trying to kill the spirit of democracy by being rigid about conducting exams amidst…",Day Dreamer,"New Delhi, India"
,,"RT @Nitkjain: .@SenRickScott This is what your obstruction of S386 looks like.when FL gets hammered down by the pandemic, you obstruct a pa…",,California
,,"RT @anubha1812: @PMOIndia
@DrRPNishank
@Swamy39

SURGICAL STRIKE ON COACHING INSTITUTES AND PVT SCHOOLS, COLLEGES IS THE NEED OF THE HOUR…",,
,,"RT @MikeBloomberg: Our goal shouldn’t be to bring back the pre-pandemic economy. 

It should be – as @JoeBiden says – to build it back bett…",,california
Gardasil HPV LearnTheRisk vaccines,,"RT @LotusOak2: Irish Group R.E.G.R.E.T. Calls Out #Gardasil Propaganda

https://t.co/ejzya2otjX

#HPV #LearnTheRisk #vaccines https://t.co/…",Wong cilik yang Anti PKI. Anti Mahluk Homo/LGBT. Anti Syiah. Anti #BangsatBangsa. Anti #AnjingPeking/Cebby.,"Pasar Minggu, Indonesia"
,,RT @DonaldJTrumpJr: He takes a while to warm up. Many people take half a century to actually start doing something. Now he’s going to make…,☝Parler/ American Entrepreneur There's1-Good 1-Evil/Knowledge-Ignorance-Socrates #DarkToLight #WWG1WGA_GLOBAL 🌎 #Questioneverything America 🇺🇸 1st!,
,,"RT @wisheart12: Twitter friends,don't get taken in by this hyrdochloroquine touting,fake news spreading lunatic. He came onto my tweet afte…","Keen, but haphazard gardener. I take responsibility for my mistakes in gardening and in life. Trying to make the most of each day.",
balbriggan,,"@rtenews Someone should explain to these illegal immigrants, who were stabbing each other in #balbriggan 20th August 2020 about social distancing, radical left Matt Cooper, @rtenews will not report on Africans Gangs that terrorise Irish community's in Balbriggan.
https://t.co/6dpsxZpJCH",Irish Nationalist Oath of Allegiance is to Ireland and the Irish people and no one else. 🇮🇪🤝🇺🇸 Supporter of Donald J Trump,
,,"RT @romyellenbogen: A 6-year-old girl in Hillsborough has died from coronavirus, according to the Florida Department of Health. She's the y…",hate Donald trump . Can't wait till he's impeached. #Resistance! We need to march. trump needs to be stopped! 🆘,
,,RT @abc13houston: A list of resources for COVID-19 financial relief https://t.co/bgN8O7Jzor https://t.co/7en5lZraP1,"64 years of learning.I love a PTSD survivor All living things are equal in importance 
All deserve to be valued
RTs help cause
VOTE REAL DEMOCRAT🌊",
