hashtags,place,text,user_description,user_location
,,"RT @ProjectLincoln: The Trump campaign this week:

🤡 $750 Tax Payment
🤡 Hope Hicks has Covid
🤡 Proud Boys standby 
🤡 Parscale
🤡 Melanie hat…","Here for the fight to save our country & to help eradicate the stench of corruptness, stupidity and insanity. Black lives matter. #RESIST",
,,"RT @tompeck: Do remember, by the way, re Margaret Ferrier, that even if Dominic Cummings had never gone to Durham, he still went home to se…",#HaveDemocracy#ProEurope#RussianJohnson#GoGreta#ElectoralReform,
trump,,"RT @iGeorge48: Aside from the fact it is his normal demeanor, we now know the real reason #trump was screaming, hissing and spitting at the…",,
,,RT @mmpadellan: Any and all Supreme Court confirmation procedures should immediately cease until we can figure out what the hell is going o…,,"Modesto, CA"
,,RT @SkyNews: Trump coronavirus: Why the president's age and physical condition put him at higher risk from COVID-19 https://t.co/nstptbyFh2,"Coffee drinking, cat herding, reader. #Resistance","Cathedral City, CA"
,,RT @JDiamond1: I have never seen so many WH staffers wearing masks at the same time throughout this entire pandemic,"writer
lawyer
proud liberal (#indict trump)
animal lover
most tweets r current events/politics
best tweets r about animals
no MAGAts",SF/NYC
,,"RT @JPLuisi1: In light of @fordnation's theft of our freedom, I think we all need a little inspiration.

See you tomorrow at the Freedom Ra…","#PPC supporter because I want to live in a nation governed by:
🇨🇦Personal Responsibility,
🇨🇦Individual Freedom
🇨🇦Respect
🇨🇦Fairness #PPCorBUST",True North Strong & Free
,,"RT @NBCNews: President Trump has a low-grade fever after testing positive for coronavirus, according to 3 people familiar with his conditio…","Personal and Fan Account
( la akong ibang account😊
one and only)",Republic of the Philippines
,,"@BigSeanHarris @SquawkCNBC @CNBC @jimcramer Here is your Utah Senator Days before testing positive
https://t.co/0R5YWej4aX","Mixed Race Kid, DataVis Web apps D3.js Reactjs Music and Soccer housing stability enthusiasts. Podcast Critic.","Sac,CA➡️NYC➡️SF,CA "
,,"RT @MMFill: Recent clusters of COVID-19 among high profile groups (TN Titans NFL team, White House leaders) who are being tested frequently…","resident of three countries, mum, loves medicine and Africa",
,,"Bro what a crazy 24 hrs, fucking minecraft steve in smash AND trump with covid, this has gotta be a simulation",Fuck it we ball,Blacklivesmatter
,,"RT @gtconway3d: Don't worry, it's just a Democratic hoax and will disappear like a miracle.",Vote him right into prison. #BidenHarris2020 he/him,"Los Angeles, CA"
,,"RT @realDonaldTrump: Tonight, @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately. We…",,Estados Unidos
,,RT @krishgm: Exactly 4 years ago. https://t.co/FEtp2bP00j,"Journalist @newsweek. Interested in Inequality, Poverty, Islamophobia, Social Cohesion, Prisons, Class, Media Diversity. Previously @MetroUK. Views are my own.",
,,RT @CHIZMAGA: Lefties are about to find out how weak Coronavirus actually is.,"Very red pilled for years, cannot believe what is going on!!!   Follow https://t.co/nh2Gdz13hn Subversion begins with your health!!!#CUEANON","Millstone, NJ"
,,RT @kurteichenwald: Trumps campaign manager has Covid. This is beyond unreal.,"“A society must assume that it is stable, but the artist must know, and...let us know, that there is nothing stable under heaven,” - James Baldwin

(he/him/his)",NO LISTS!
ai deeplearning iot,,RT @MotorcycleTwitt: No one’s getting new emoji in 2021 because of the pandemic: #ai #deeplearning #iot ht: @MikeQuindazzi https://t.co/Wol…,#Innovation CIO • #BigData #Cloud #SaaS Leader • Future of #Digital #MobileFirst • Interested in #VR + #AR • #WomenInTech Building #IoT,"New York, USA"
COVID19,,"RT @disclosetv: BREAKING - Now, three White House journalists have tested positive for #COVID19. Seems a deep-clean is required ASAP.","observée l'Actualités jeu vidéo , politique internationale conflits mondiale",
,,RT @lordtaylorvb: Covid: https://t.co/0Kw2SXP7fP,I take pictures 📸. Also Fuck Batman,"Alabama, USA"
,,RT @marco_alonzo59: Trump got Covid and y’all are celebrating???...THATS SICKENING.  At least have some decency and throw a party for it???…,🌙♍️🌸 (she/her),
,,RT @BrentTerhune: TRUMP got covid https://t.co/3iCUKRHv7Y,Fiquem juntos e guardem o perímetro,Brasil
,,"RT @brycetache: We have sacrificed so much this year, experienced so much pain. Trump &amp; Republicans mocked us. Lied to us. Even as 200,000…","Texan in Ohio. Disabled Nurse. Living w CIDP. Proud wingmom. Married. 

Loving your country doesn't mean blindly follow the leader. RT≠endorsements.","Ohio, USA"
,,RT @AliVelshi: BREAKING: U.S. stock market futures plunge after confirmation that Donald Trump tests positive for coronavirus,"Teacher, writer, and sports fanatic","Alexandria, VA"
,,RT @DaveBautista: I’ve never wished it on anyone. But it is what it is. I wonder how many covid victims Trump has prayed for?,ALL IS LIGHT 073110/112517               Creator of “Shit Brad Be Doin” podcast,CENTERED
,,RT @cnnbrk: Former White House adviser Kellyanne Conway says she has tested positive for Covid-19. She attended a Rose Garden event last we…,cortland t&f 2021 | she/her,"li, ny"
,,RT @briantylercohen: BREAKING: Donald and Melania Trump have tested positive for coronavirus.,Founder and CEO @hepifyapp Health IT | Data Engineer | Mercedes Benz reviewer on YouTube,"Salt Lake City, UT"
,,"RT @ZekeJMiller: WASHINGTON (AP) — White House: Trump to travel to military hospital after COVID-19 diagnosis, remain for 'few days' on adv…",I like hockey and Top Gun.,Florida
,,RT @MikeHolden42: So he knew Hope Hicks was positive and still went on a rally.,"#ProChoice, #Resistance,#VoteBidenHarris #BLM #Democrat,  Support @ReverendWarnock and @Ossoff  #GeorgiaRunoff,   #PRU",USA
,,"RT @BarackObama: Michelle and I hope that the President, First Lady, and all those affected by the coronavirus around the country are getti…","Movie critic, corporate critic, shareholder advocate; Assistant editor at @ebertvoices; #corpgov #movies @miniverpress @valueedgeadvsrs @moviemom",
,,RT @MattStehman: COVID19 is the only thing Trump has ever acquired in life by actually earning it,"Logical thinker, jagger, peoplewatcher, more “we” than “me”- wishes she was more bohemian...","Lethbridge, Alberta, Canada"
,,RT @Yamiche: At least seven people have tested positive for COVID-19 who attended Saturday’s Rose Garden Supreme Court nomination event nom…,"My writing's been found on food shopping lists & mini golf scores.

https://t.co/zwYwfql8Zp




(Avi by @theunderfold)",
,,"RT @FacesOfCOVID: SGT. 1ST CLASS MIKE MARKINS, 48, a mechanical maintenance technician with the 100th Training Division at Fort Knox, Kentu…",I'm a fan of #Detroitbecomehuman,
,,@KayeT57556023 @10DowningStreet whilst I agree its been mad I m not sure any political party would do things differently its been a world wide load of old balls. Take COVID out of the menu &amp; think about the other issues after it has passed.  Labour are not front runners either.,"Food and most things with 4 legs make me happy. The sun rising, and the red sky at night.",all over the world
,,RT @AmyKremer: President @realDonaldTrump will get more done while having COVID and in quarantine than Joe Biden did in 47 years.,"Conservative, love our country and constitution, must defend both from other nations and with-in USA. #TGDN", south
,,"RT @YouGov: No, Boris Johnson catching coronavirus did not prompt a surge of support for the government. The surge had already taken place…","Writer, formerly American, agender, Slytherin 🐍. Working in digital until I get an agent. Opinions = mine. Pronoun: they.","London, UK"
,,RT @wsteaks: Meanwhile... Trump campaign today started running more Facebook attack ads pushing the bogus earpiece conspiracy against Biden…,When you’re married you’ll understand the importance of fresh produce.,
,,RT @pastorlocke: How amazing that @realDonaldTrump will beat Covid and Biden just weeks apart. God bless you Mr. President.,"Voice of change 🗨
Young wild mind 💭
200K followers  challenge by december 🙏  follow for follow lets gain together 🌠","Nakuru, Kenya"
,,"RT @JeromeTaylor: Genuinely terrifying how often this happens to Jiayang in supposed melting pot New York. 

And when she checks her phone…","Here in good faith. Hong Kong 💛💚💙 we shall overcome.

The moment you realise you've been lied to your whole life.",
,,Fucked around and caught Covid anyway https://t.co/HZNzM9t9y6,24. #LLK #LLG  Nuggets/NYG  Set the Vibe 💤🧟‍♂️ BLM,Crib
coronavirus AffordableCareAct,,RT @TeamPelosi: Unless this Administration gets serious about crushing the #coronavirus instead of working to crush the #AffordableCareAct…,Massachusetts,"Massachusetts, USA"
COVID19,,"RT @donwinslow: No distractions. On Friday and throughout the weekend:

1. Tweet about # of deaths from #COVID19 - over 200,000

2. Tweet a…",,
,,"@LouiseStaley @MarthaThomas20 Shame our Health chiefs and local aged-care managers didn’t have the dedication and foresight  of this woman and her staff. 

Limiting movement in the most vulnerable -  not the least as our muppet Premier and CHO have  - areas, was always the way to go.

https://t.co/NmF69e4cgt",Retail strategist by day. tweets on #wine 💕 and politics.... but not together. enjoy what u like. ignore the rest. #Beaujolais #Chablis #Piedmont,"Melbourne, Australia"
,,RT @MikeDrucker: coronavirus stand back and stand by,"BLACK LIVES MATTER TODAY TOMORROW ALWAYS‼️ she/her 🏳️‍🌈 uiowa anthropology & public health | defund the police, fund communities","708, 319, 269"
,,"RT @weijia: .@cbsnews has learned Hope Hicks tested negative for COVID-19 Wednesday morning, so she boarded AF1. She developed symptoms dur…","RN, Marched against tRump in Washington, London, FL, Juneau. Volunteer Poll worker, and now suffering from new addiction to Twitter. VOTE!",SWFL
,,"RT @davidxmacharia: ""Mr. President the two week quarantine IS in fact mandatory."" https://t.co/qYRpygLU4T",i love stankin,
,,People really have enemy lists? https://t.co/hP5g9osY1r,Sleepwalking through life,"Birmingham, England"
,,RT @therecount: @JonLemire Here's the latest on Trump's COVID diagnosis and the scope of the spread: https://t.co/e3z4IY7KOb,"Loving heart, healing hands, emotionally honest, strong language. Progressive. As. Fuck. Liberté, Egalité, Fraternité  #Resist #TheResistance","San Francisco, CA"
,,"RT @RichardGrenell: 17 US intelligence agencies agreed and issued a rare unified statement that China, and specifically Wuhan, is where the…",I am interested in reading and understanding other views. Why is it so hard to accept others views?  I love this country #TRUMP2020,
,,"As Soon as the President catches COVID , all of a sudden there’s a cure 🤔🤗",Call Me Princess because that’s what I am 👸🏽💗♈️ #PrincessGang💗,
,,RT @DEADLINE: Donald Trump Tests Positive For COVID-19 After Close Aide Hope Hicks Contracts Virus https://t.co/jjzcuNVJeW,どうしたの？あなたは怒っており、あなたはこのバイオで汚れを探していますね。,Japan
,,"RT @bIondiewasabi: -full moon
-trump got covid
-new 21 savage album
-october 1st

maybe these astrology girls are onto something 🧐",illville 🌃 FEED YA SOUL NOT YA EGO,Jerz
,,RT @D_1andOnly_: Trump ain’t slick. He gon take the vaccine and say it cured him and dish that shit out to America like we some fools lol,Snapchat ; ericaryan33,Rest easy chuy 🕊🤞🏼🤍
,,RT @BreitbartNews: Michael Moore floated the conspiracy theory that president Donald trump could be “lying about having COVID-19 to prepare…,"(BlindingInstant on most other social media.)

i love tv shows, animals and being too invested in stuff. 25 from germany.

#MeToo #BLM #FFF",Germany
,,"WOOOW that's crazy.

I really hope this convinces all the none believers that are left that this shit is legit, real and dangerous. https://t.co/9VCAnWfdIN","The smallest minority is the individual|Love Debate, Politics, and history | Ethiopian American & proud Texan | TXST Alum | $Zackabnet",Ethiopia → U.S.A → Ethiopia 
,,"RT @jonathanoosting: Michigan's own Ronna McDaniel has also tested positive for the virus, according to NYT reporting. https://t.co/NhDoQa1…",Santa Clara County Democratic Party,"Santa Clara County, CA"
,,"RT @Yamiche: NYT: “Even if Mr. Trump, 74, remains asymptomatic, he will have to withdraw from the campaign trail &amp; stay isolated in the WH…","Questioner, agitator, Spawn of the 60’s, Cinephile, Aesthetic Appreciator, Curiously Awaiting the Singularity and the Next Rung on the Evolutionary Ladder!","San Francisco, CA"
,,"RT @RichardGrenell: This is made up. 

Frank is the same guy who just called for a commission of DC insiders to vet future presidential can…","Christian loving, gun loving, Constitutional conservative #MAGA, love America.","Texas, USA"
,,RT @SenWarren: Two Senate Judiciary Committee members tested positive for COVID-19 today. We don't know when we'll know just how many peopl…,,
,,RT @WhitneyCummings: I don’t get how Melania got it - she’s been social distancing from trump since they got married,a Nasty Woman ✨,NM 🌵
COVID19 CoronaVirus CoronaVirusUpdates,,.@BorisJohnson here.... Nothing more than a massive arse on legs. #COVID19 #CoronaVirus #CoronaVirusUpdates https://t.co/14hpbbCCbb,Retired #Radiographer #Behçets ♿️ #ChronicPain #Pituitary 🔶Ex🌹#Antifa #MoreInCommon #Badgers #RejoinEU 🇪🇺 #FreeNazanin #BLM #HopeNotHate #Resist 🇺🇸 #Woke,"Ayr, 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇧"
flu coronavirus,,"@MayorTomButt @CoCoHealth A 2020 US Military Study found that getting a #flu shot raises your risk of #coronavirus by 36%

https://t.co/UNDwEhGr0W",Vaccine injury is real 💉 We are angry and tired but we are #NotGoingAway,USA
,,RT @notThreat3x: Trump getting COVID right after making fun of Biden for wearing masks is so 2020,don’t cry you’re too sexy :) she/her,Obama Land
STUDY,,"RT @LotusOak2: New #STUDY: ""It recommended chloroquine phosphate tablet, 500mg twice per day for 10 days for patients diagnosed as mild, mo…",A proud deplorable living in flyover country 🌪  🌻 🌈,From the land of OZ
,,"RT @FrankFigliuzzi1: Secret Service agents expressed anger and frustration to colleagues and friends Friday, saying that the president’s ac…","Big time sports fan! Loving the Packers, Brewers, Bucks and Badgers!🏈⚾️🏀♥️!

Trump is an American tragedy! The liar and cheat must go!👎","Middleton, WI"
,,"RT @JoyceWhiteVance: Yes, the President has Covid, but we are in the middle of an election &amp; we owe it to the country to stay focused on th…","Esther Fusco, was a principal, now a professor at Hofstra Uni and author of Effective Questioning Strategies designs Literacy and brain compatible classrooms.",
,,RT @MaxBoot: Biden should spend the rest of the campaign in his basement. Do all events including debates by zoom. The greatest risk that t…,"Mother of one, Grandma of one, retired citizen.","New Jersey, USA"
,,"@trentowesrent @Hammer0fFacts Cuarantena(Spanish translation of quarantine) would be ideal because you made it during quarantine,I propose the should be ""cuarantena gold""",indomitable spirit,
,,"RT @SenSchumer: We now have two members of the Senate Judiciary Committee who have tested positive for COVID, and there may be more. I wish…",Divergent.,"California, USA"
,,RT @AP: White House doctor: Trump to continue carrying out duties 'without disruption' after contracting coronavirus. https://t.co/IagcKV3H…,"25. My life is a mess rn. Here for the news, the memes, and the shit show.",Bayonne
,,RT @carolecadwalla: A reminder to all Americans that the net effect of our prime minister catching COVID-19 was that it prompted a surge of…,can we be nice -people are struggling. never buy the S*n. Support our NHS,
,,"RT @DC_Draino: Go ahead Libs

Attack a 74 year old grandfather with COVID

See how that helps you in November",🇺🇸#DrainTheSwamp #MAGA #KAG2020 #FakeNews #WWG1WGA,
,,RT @Ruth_HHopkins: This week my Tribe lost two more Tribal members to COVID-19. They were both strong matriarchs loved by their families an…,"I have three grow children,and five grandkids. I Love Empire,soaps ID,and i also love animals !","lexington,SC"
,,I’ve said it for a long time now: One of Trump’s main operating principles is that rules are for *other* people. https://t.co/4MER9JUVsJ,"Journalist working at the intersection of power, money, and corruption. NYT bestselling author (most recently: “Kushner, Inc”). At work on my fourth book.","New York, NY"
,,"This is a good statement. The only good statement, honestly. https://t.co/vRz8SsKvkN",Marxist-Leninist ☭ 1312,"Ronkonkoma, NY"
,,RT @3days3nights: This DJT COVID announcement is the greatest possible doxxing experiment ever implemented on the unwitting evil lemmings o…,"wife, mother, g & gg mother,  #MAGA #walkaway  #patriots #ProLife #NRA #TRUMP2020 #2A #draintheswamp #Buildthewall #3Stars4GenFlynn #DigitalSoldier #truthseeker",smoky mountains in East Tn.
,,RT @MattBellassai: corona walking into the white house one month before the election https://t.co/mhHWDxhrSI,"Reggio Emilia, studying Mathematics at UniBo, graduated at Liceo scientifico Silvio D'Arzo. Ravenclaw and professional cat petter. 📚🌈💘",Italy
,,"RT @DFBHarvard: Sorry, but I've been a Registered  Respiratory Therapist &amp; public healthcare &amp; policy researcher for 50 years!

Donald Trum…","🇺🇸Golf Course Superintendents,🇺🇸 Husband, father to 5 kids. A PSU alumni and deplorable🇺🇸🇮🇱",
,,"RT @realDonaldTrump: Tonight, @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately. We…",‏‏‏‏‏‏ويذهب الجميل ليأتي الاجمل❤,"الرياض, المملكة العربية السعود"
,,Has any media outlet come out yet and said that they believe Trump deliberately caught the coronavirus in an attempt to spread it to Joe?,Pancreatic cancer since 2/2015. Stage 4 since 1/2017. Still fighting. Unstable genius.  @louis2m2 gone but not forgotten.,
,,@JKoornstra @williamevans2 @Elohim_Gadol @realDonaldTrump IF YOU WOULD HAVE BEEN LISTENING HE TALKED ABOUT HIS HEALTH PLAN AND AND COVID 19 PLAN THE ONLY THING ANYONE CAN DO IS WHAT WERE DOING. ITS NOT HIS FAULT CHINA WAS IDIOTS AND RELEASE THE VIRUS. GO WATCH  THE VIDEO IF YOU WANT TO SEE HIS PLAN ON HEALTH CARE.,,
COVID19,,RT @sudhirchaudhary: US President Donald Trump and First Lady Melania Trump test positive for #COVID19. https://t.co/mBsjTBHzfY,भारतीय सेना सर्वोपरि ईमानदार देशभक्त प्रधानमंत्री नमो जेसे महापुरुष धरती पर युगों मे जन्म लेते हे धन्य वो राष्ट्र माता जिसने भारत को ईमानदार देशभक्त सपूत दिया।,
,,RT @marco_alonzo59: Trump got Covid and y’all are celebrating???...THATS SICKENING.  At least have some decency and throw a party for it???…,mark 💓,
,,"RT @KatieHill4CA: If everyone got the healthcare that Trump is going to get, COVID deaths would be much lower.","Murphy. she/her. 33. fledgling DM. fandom vodka aunt. perpetually tired. 

current fixations: Untamed, Critical Role, Star Trek",
,,RT @girlsreallyrule: Remind me never to use Pence's doctor for anything ever. https://t.co/cpjJJGbian,Architecte fan d'architecture (sans blague) et... toujours supporter d'Obama!,Maroc
,,RT @RobGeorge: Wow. Four years ago to the day.,#NationalBestSellingAuthor My first two independent releases are available on my payhip! EMAIL: authorbiancaxaviera@gmail.com Host of @beebookspod,Duval
,,RT @GeoffRBennett: Sen. Mike Lee (R-Utah) has tested positive for coronavirus. Lee -- a member of the Senate Judiciary Committee -- met wit…,Duke 🌈 and Luna just doing what she can to make the world a better place.... oh and to get more treats each day.,
,,RT @fourfoot: He needs A and E.,18. | @brentfordfc | @hrbfc | @Middlesex_CCC | @McLarenF1 | Sports Journalism Student🏴󠁧󠁢󠁥󠁮󠁧󠁿 #SouthgateOut #FrankOut,London/Southampton
,,"RT @kpottermn: Before checking in for every single flight, @Delta now requires you to certify you will wear a mask; have not experienced CO…","Advocate for public school students,staff and families. Love baseball, books, and biking.",Minneapolis
,,"RT @charliekirk11: The party that wanted you to lockdown, wear masks, and stay home to “save lives” is now wishing death on the president.…","An elderly female who has very definite opinions of the world. . . Christian grandmother, patriot , and  Trump supporter.  MAGA!",The South
,,The POTUS stood shoulder to shoulder with dozens of Government workers like his latest SCOTUS pick Amy Coney Barrett all while refusing to wear a mask. They will all pay a price for his ignorance as will the rest of America,Devoted Dem I Believe in Human Rights A Women's Right to choose Climate Change Health Care Reform and... Dogs #TheResistance,Atlanta  #UniteBlue
,,"Coronavirus: Boris hints he will droop Rule of Six on Christmas Day
https://t.co/v3nFpbePjg...
https://t.co/MNTjTrJsSS",https://t.co/OM8jzdtJw9 Provides Latest News from the world's most Trusted Sources. The news and updates that you can totally rely upon.,
,,@diddydidsy @DrNSuttonPierce @RealDealAxelrod @FLOTUS @POTUS Remember when he said if you take out the deaths in Dem states we have less COVID deaths?  He suggests he doesn't care about those people getting COVID so why should anyone care about him?,,
,,RT @HmWbot: How might we reinvent social distancing to momentarily quell reality's deafening roar?,,
,,"RT @marklevinshow: President Trump’s video message before leaving for Walter Reed
https://t.co/wUxxWpDHlL",The truth is that the truth is not popular.🇺🇸MAGA BirdLives,
,,RT @DanaHoule: Amy Coney Barrett should quarantine herself. No moving forward on her nomination until she finishes the quarantine,my tweets/views don’t reflect those of my employer. he/him/él,FL/DC
,,RT @iteachspeech31: DO MASKS WORK? I am a healthcare worker who wears full PPE everyday and sanitizes myself and my equipment frequently. M…,"""No enemy can defeat us in battle, 
deny us victory, nor alter our destiny,
WE ARE MARINES!""
 #TrumpAll50
#FightBack
https://t.co/L67q9yYY4o","Marine Corps Veteran, California, USA"
,,RT @KellyannePolls: Tonight I tested positive for COVID-19. My symptoms are mild (light cough) and I’m feeling fine. I have begun a quarant…,"LIBERTARIAN.LIBERTARIO. I tweet in English,Spanish and, occasionally, in French. Lived in: 🇪🇨,🇺🇸,🇻🇪,🇨🇦,🇨🇭,🇦🇺. No DMs.",Australia
,,Maybe there is a god https://t.co/7V51zTnH87,"Pats fan but will be rooting for the bucs while Brady and Gronk r there,that also roots for the falcons and browns.",
,,@TeaPainUSA SURPRISE trump has Covid lol,Politics 💙 TV & Pop Culture 📺 Science 🧬 Nature 🌿 Laughs 😂 Whatever ✌️,NYC-MIA
,,RT @AshaMis73440192: Dear sir plz consider the transfer of teachers from aspirational districts as well...our work n family both are suffer…,,
,,RT @TomJChicago: Trump’s COVID symptoms must be advancing faster than they are admitting if they’re already pumping him with polyclonal ant…,A fistful of dollars doesn't pay the rent.,"Writer, filmmaker - Minneapolis"
,,"RT @MSN: White House reveals Trump's coronavirus treatment, says he is 'fatigued but in good spirits' https://t.co/kWbDXE3oSV",pet lover & farmer in an urban world.  I seek the truth in all & love to make new friends. #Burkettes 💗 Warning I do stand my ground to Trump trolls!!☣,Harrisburg Pa
,,RT @brianstelter: So two members of the White House press corps have tested positive for Covid-19 today. (One was a preliminary positive re…,"🌊No lists please.
VOTE.TRUMP.OUT.
https://t.co/k4Cyney44l Advocacy/🏳️‍🌈/Ban 🏆 Hunting/Support the Arts/Tennis 
🌊#FratelliTutti",🌎
,,RT @realTuckFrumper: BREAKING: Anti-Handwashing Republican Senator Thom Tillis of North Carolina Tests Positive for Coronavirus https://t.c…,#BidenHarris2020 #NYG #VoteBlue #DeSantisMustGo,"Florida, USA"
,,"RT @alexnazaryan: A lot of anger will be directed in coming days to senior West Wing staffers, chiefly Meadows, Scavino, McEntee and--this…",Musician. Introvert. Thinker. 🐘 lover. Elehugs are magical.,California
,,"RT @jilevin: Donald Trump Admitted to Walter Reed Military Hospital, To Spend Next 'Few Days' There After COVID Diagnosis https://t.co/LnKy…",,
,,RT @JoeBiden: I’m happy to report that Jill and I have tested negative for COVID. Thank you to everyone for your messages of concern. I hop…,"80s music lover, enjoy reality tv shows, resist the petulant man child!",Chicagoland
,,"RT @gtconway3d: ""It affects virtually nobody""",a Canadian that believes being a decent and kind human being should be the goal of all mankind💕love all 🏳️‍🌈🇨🇦🇺🇸. we r here on 🌏 so short don’t waste it,"Toronto, Ontario"
,,Not Former reality Tv host 😂😂😭💀 https://t.co/bNWeDBpCua,"Young , Black & Carefree 🌱",
,,"RT @jonfavs: Republican politicians do not give a shit about anyone but themselves - not their own voters, not other voters, no one.",Retired Chef who now just cooks for fun and is dismayed at what has happened to our County..,United States
,,@JaniceDean Just watch you on Foxnews tonight @JaniceDean! So sorry for your losses! 😕 I live in Arizona and my 83 yr old mom is in a Alzheimer’s nursing home. Over 1/2 the residents have tested positive for Covid &amp; 9 care workers. All either asymptomatic or light symptoms. All recovered!🤷🏼‍♀️,💞 Love my country 🇺🇸 Our Heavenly Father & son Jesus Christ will never desert us #THINBLUELINE. Follow me on Parler: Decosta1990. I follow back if possible,United States
trump WearAMask WashYourHands SocialDistancing StayHome,,"@KLoeffler you are an idiot and 208,304 people have died and 7,303,914 Americans have gotten sick because #trump is so irresponsible. 

#WearAMask #WashYourHands #SocialDistancing #StayHome https://t.co/ZumU8xv3tU",Views are my own free speech and personal opinion.,
,,"RT @CheriJacobus: Remember how 4 years ago, to the day, when @HillaryClinton was ill with pneumonia, Trump suspended all negative ads and t…","Chicago, IL, born/raised; Hispanic, Husband Pete; Each day I realize that there is good in the world; Differences can be tolerated; Love arts 🎭; music 🎶",
,,Pitch perfect. https://t.co/IveSGajp1d,"Comms flak. Combat veteran. Former Counterrorism & Russia analyst. Account may not look like much but she’s got it where it counts, kid. Opinions mine",Pacific Northwest
,,"RT @TrumperWavin: President Trump wants to appoint Tom Fitton to a D.C. court oversight body, Kellyanne Conway tested positive for COVID-19…","Awake and reclaiming my time #SelfIdentifiedasPresidentElect because apparently you can do that
#TermLimits #cancelNetfix #cancelFox
#saveOurChildren #TDSisReal",
,,RT @TheAtlantic: What does the coronavirus diagnosis mean for Donald Trump? @jameshamblin lays out the clinical probabilities: https://t.co…,"Editor in chief, The Atlantic.","Washington, D.C."
,,RT @johncusack: The problem with trumps  staff getting Covid - is too many tests - if they test less - Less people on Air Force one wil get…,,
,,RT @wxdam: Four years ago today:,,"Washington, DC"
,,"RT @biannagolodryga: About as dysfunctional as things can get...
“The White House and FDA are at odds over the guidelines the health agency…",Retired transit/transportation engineer,"Toronto, Canada"
,,RT @TomJChicago: Trump’s COVID symptoms must be advancing faster than they are admitting if they’re already pumping him with polyclonal ant…,"CA girl, Stanford anti-war protester, France, OR hippie commune, R.N./mother of Jen, married Russ, AK resident/mother of Brooke & Adam, paralegal/office manager","Anchorage, AK"
,,wishing you the opposite of a recovery 😺💕 https://t.co/jeFQXdcv64,🌸I like fish🌸She/they/kit🌸ACAB🌸Banner by @GRUMBBEE🌸Icon by @sporkspagel🌸Check pinned for content warnings and some info about me🌸,mothwinglovesu
,,"RT @brianbeutler: The simplest, best explanation is Trump made culture war out of reckless disregard for guidelines and got COVID. But he a…","“The party told you to reject the evidence of your eyes and ears. It was their final, most essential command.”

— Orwell, 1984

¯\_(ツ)_/¯",PDX
,,Big news this morning! President Trump and the First Lady test positive for Covid 19. The latest on @wbir,Lots of coffee. Wine. Mom. News anchor. YouTube: https://t.co/in3JEkHcEa instagram: abbyham,"Knoxville, TN"
,,RT @VincentCrypt46: It will happen Patriots. https://t.co/igiD9jIPR7,,
,,RT @KnowbodysTweets: I see a lot of y'all celebrating Trump getting COVID and I'm mad disappointed in y'all https://t.co/pcKR6tqZOl,IG: Alrashid5,"Iowa, USA"
,,Do the Texans play the Vikings here???? If so I really hate COVID happened because my cousin Jeff Gladney plays for the Vikings.. I would’ve loved to see him play in person,Still Being Written,The Universe 
